Price,Brand,Model,Cores,Threads,Socket Type,Base Speed,Turbo Speed,Integrated Graphics,Memory Generation,Memory Speed,Link
755,AMD,Ryzen 9 3900XT,12,24,AM4,3.8,4.7,None,DDR4,3200,https://amazon.com/dp/B089WD454D?tag=pcbuilder00-20
299,Intel,Core i7-12700F,12,20,LGA 1700,2.1,4.9,None,DDR5,4800,https://amazon.com/dp/B09NPJDPVG?tag=pcbuilder00-20
1445,Intel,Core i9-9980XE,18,36,LGA 2066,3,4.5,None,DDR4,2666,https://amazon.com/dp/B07JGCMQY8?tag=pcbuilder00-20
328.19,Intel,Core i7-12700,12,20,LGA 1700,2.1,4.9,Intel UHD Graphics 770,DDR5,4500,https://amazon.com/dp/B09NPHHSZ1?tag=pcbuilder00-20
2500,AMD,Ryzen Threadripper 2990WX,32,64,sTR4,3,4.2,None,DDR4,2933,https://amazon.com/dp/B07G25SD1P?tag=pcbuilder00-20
1600,Intel,Core i9-9960X,16,32,LGA 2066,3.1,4.5,None,DDR4,2666,https://amazon.com/dp/B07JDV1QDG?tag=pcbuilder00-20
299.99,Intel,Core i7-12700KF,12,20,LGA 1700,3.6,5,None,DDR4,4800,https://amazon.com/dp/B09FXKHN7M?tag=pcbuilder00-20
339.99,Intel,Core i7-12700K,12,20,LGA 1700,3.6,5,Intel UHD Graphics 770,DDR5,4800,https://amazon.com/dp/B09FXNVDBJ?tag=pcbuilder00-20
761.69,AMD,Ryzen Threadripper 2950X,16,32,sTR4,3.5,4.4,None,DDR4,2933,https://amazon.com/dp/B07GFN6CVF?tag=pcbuilder00-20
1200,Intel,Core i9-7980XE,18,36,LGA 2066,2.6,4.2,None,DDR4,2666,https://amazon.com/dp/B075XRYMDR?tag=pcbuilder00-20
883,Intel,Core i9-10940X,14,28,LGA 2066,3.3,4.8,None,DDR4,2933,https://amazon.com/dp/B07YP67PFV?tag=pcbuilder00-20
248.99,AMD,Ryzen 5 7600X,6,12,AM5,4.7,5.3,Radeon,DDR5,5200,https://amazon.com/dp/B0BBJDS62N?tag=pcbuilder00-20
319.99,AMD,AMD Ryzen 7 5800X3D,8,16,AM4,3.4,4.5,None,DDR4,3200,https://amazon.com/dp/B09VCJ2SHD?tag=pcbuilder00-20
970,Intel,Core i9-9940X,14,28,LGA 2066,3.3,4.5,None,DDR4,2666,https://amazon.com/dp/B07JFH771Y?tag=pcbuilder00-20
226.99,AMD,AMD Ryzen 5 7600,6,12,AM5,3.8,5.1,AMD Radeon,DDR5,5200,https://amazon.com/dp/B0BMQJWBDM?tag=pcbuilder00-20
760,Intel,Core i9-7960X,16,32,LGA 2066,2.8,4.2,None,DDR4,2666,https://amazon.com/dp/B075XRYMDS?tag=pcbuilder00-20
914.1,AMD,Ryzen Threadripper 1950X,16,32,sTR4,3.4,4,None,DDR4,2667,https://amazon.com/dp/B074CBH3R4?tag=pcbuilder00-20
169.99,AMD,AMD Ryzen 7 5700X,8,16,AM4,3.4,4.6,None,DDR4,3200,https://amazon.com/dp/B09VCHQHZ6?tag=pcbuilder00-20
620,Intel,Core i9-7940X,14,28,LGA 2066,3.1,4.3,None,DDR4,2666,https://amazon.com/dp/B076KXLR6K?tag=pcbuilder00-20
1129.99,AMD,Ryzen Threadripper 2970WX,24,48,sTR4,3,4.2,None,DDR4,2933,https://amazon.com/dp/B07JBQJ1D9?tag=pcbuilder00-20
779.83,Intel,Core i9-10920X,12,24,LGA 2066,3.5,4.8,None,DDR4,2933,https://amazon.com/dp/B07YP6Y9VY?tag=pcbuilder00-20
349.99,Intel,Core i9-11900K,8,16,LGA 1200,3.5,5.3,Intel UHD Graphics 750,DDR4,3200,https://amazon.com/dp/B08X6PPTTH?tag=pcbuilder00-20
649,Intel,Core i9-9920X,12,24,LGA 2066,3.5,4.5,None,DDR4,2666,https://amazon.com/dp/B07JGCV5KN?tag=pcbuilder00-20
179.95,AMD,Ryzen Threadripper 2920X,12,24,sTR4,3.5,4.3,None,DDR4,2933,https://amazon.com/dp/B07JDF4QP2?tag=pcbuilder00-20
308,Intel,Core i7-11700K,8,16,LGA 1200,3.6,5,Intel UHD Graphics 750,DDR4,3200,https://amazon.com/dp/B08X6ND3WP?tag=pcbuilder00-20
234.99,Intel,Core i5-12600KF,10,16,LGA 1700,3.7,4.9,None,DDR5,4800,https://amazon.com/dp/B09FXFJW2F?tag=pcbuilder00-20
369.98,Intel,Core i9-11900KF,8,16,LGA 1200,3.5,5.3,None,DDR4,3200,https://amazon.com/dp/B08X6KQSZ1?tag=pcbuilder00-20
237.98,Intel,Core i5-12600K,10,16,LGA 1700,3.7,4.9,Intel UHD Graphics 770,DDR5,4800,https://amazon.com/dp/B09FX4D72T?tag=pcbuilder00-20
299.99,AMD,Ryzen 7 3800XT,8,16,AM4,3.9,4.7,None,DDR4,3200,https://amazon.com/dp/B089WCXZJC?tag=pcbuilder00-20
366.99,Intel,Core i9-10900K,10,20,LGA 1200,3.7,5.3,Intel UHD Graphics 630,DDR4,2933,https://amazon.com/dp/B086MHSTVD?tag=pcbuilder00-20
290.99,Intel,Core i7-11700KF,8,16,LGA 1200,3.6,5,None,DDR4,3200,https://amazon.com/dp/B08X6NXNX7?tag=pcbuilder00-20
354.97,Intel,Core i9-10900KF,10,20,LGA 1200,3.7,5.3,None,DDR4,2933,https://amazon.com/dp/B086MG1C7D?tag=pcbuilder00-20
549,Intel,Core i9-7920X,12,24,LGA 2066,2.9,4.4,Intel UHD Graphics 630,DDR4,2933,https://amazon.com/dp/B0756L5T93?tag=pcbuilder00-20
343.65,Intel,Core i9-10850K,10,20,LGA 1200,3.6,5.2,Intel UHD Graphics 630,DDR4,2933,https://amazon.com/dp/B08DHRG2X9?tag=pcbuilder00-20
285,AMD,Ryzen 7 3800X,8,16,AM4,3.9,4.5,None,DDR4,3200,https://amazon.com/dp/B07SXMZLPJ?tag=pcbuilder00-20
549.99,Intel,Core i9-10900X,10,20,LGA 2066,3.7,4.7,None,DDR4,2933,https://amazon.com/dp/B07YP69HTM?tag=pcbuilder00-20
449,Intel,Core i9-11900F,8,16,LGA 1200,2.5,5.5,None,DDR4,3200,https://amazon.com/dp/B08X6KFM3N?tag=pcbuilder00-20
379.99,Intel,Core i9-11900,8,16,LGA 1200,2.5,5.2,Intel UHD Graphics 750,DDR4,3200,https://amazon.com/dp/B08X5XVLL9?tag=pcbuilder00-20
270,AMD,Ryzen Threadripper 1920X,12,24,sTR4,3.5,4,None,DDR4,2667,https://amazon.com/dp/B074CBJHCT?tag=pcbuilder00-20
215,AMD,Ryzen 7 3700X,8,16,AM4,3.6,4.4,None,DDR4,3200,https://amazon.com/dp/B07SXMZLPK?tag=pcbuilder00-20
650,Intel,Core i9-9900X,10,20,LGA 2066,3.5,4.5,None,DDR4,2666,https://amazon.com/dp/B07JDV1MMR?tag=pcbuilder00-20
146,AMD,Ryzen 5 5600,6,12,AM4,3.5,4.4,None,DDR4,3200,https://amazon.com/dp/B09VCHR1VH?tag=pcbuilder00-20
425,Intel,Core i9-7900X,10,20,LGA 2066,3.3,4.3,None,DDR4,2666,https://amazon.com/dp/B072KTSCCS?tag=pcbuilder00-20
273.38,Intel,Core i5-12600,6,12,LGA 1700,3.3,4.8,Intel UHD Graphics 770,DDR5,4800,https://amazon.com/dp/B09MSLG944?tag=pcbuilder00-20
248.99,Intel,Core i7-11700F,8,16,LGA 1200,2.5,4.9,None,DDR4,3200,https://amazon.com/dp/B08X6V4WTF?tag=pcbuilder00-20
299.65,Intel,Core i7-11700,8,16,LGA 1200,2.5,4.9,Intel UHD Graphics 750,DDR4,3200,https://amazon.com/dp/B08X6QHYDL?tag=pcbuilder00-20
429.99,Intel,Core i9-10900F,10,20,LGA 1200,2.8,5.2,None,DDR4,2933,https://amazon.com/dp/B086MHTK5C?tag=pcbuilder00-20
399.99,Intel,Core i9-10900,10,20,LGA 1200,2.8,5.2,Intel UHD Graphics 630,DDR4,2933,https://amazon.com/dp/B086ML4XSD?tag=pcbuilder00-20
550,Intel,Core i9-9820X,10,20,LGA 2066,3.3,4.2,None,DDR4,2666,https://amazon.com/dp/B07KCCH7JL?tag=pcbuilder00-20
248,Intel,Core i5-12500,6,12,LGA 1700,3,4.6,Intel UHD Graphics 770,DDR4,4800,https://amazon.com/dp/B09MSJ29RP?tag=pcbuilder00-20
198.01,Intel,Core i5-11600KF,6,12,LGA 1200,3.9,4.9,None,DDR4,3200,https://amazon.com/dp/B08X62BTJD?tag=pcbuilder00-20
264.99,Intel,Core i5-11600K,6,12,LGA 1200,3.9,4.9,Intel UHD Graphics 750,DDR4,3200,https://amazon.com/dp/B08X67YZBL?tag=pcbuilder00-20
174.44,Intel,Core i5-12400F,6,12,LGA 1700,2.5,4.4,None,DDR5,4800,https://amazon.com/dp/B09NPJRDGD?tag=pcbuilder00-20
293.99,Intel,Core i7-10700K,8,16,LGA 1200,3.8,5.1,Intel UHD Graphics 630,DDR4,2933,https://amazon.com/dp/B086ML4XSB?tag=pcbuilder00-20
129.39,AMD,Ryzen 5 5500,6,12,AM4,3.6,4.2,None,DDR4,3200,https://amazon.com/dp/B09VCJ171S?tag=pcbuilder00-20
183.58,Intel,Core i5-12400,6,12,LGA 1700,2.5,4.4,Intel UHD Graphics 730,DDR5,4800,https://amazon.com/dp/B09NMPD8V2?tag=pcbuilder00-20
1989,Intel,Core i9-9900KS,8,16,LGA 1151,4,5,Intel UHD Graphics 630,DDR4,2666,https://amazon.com/dp/B07YP3J7ZM?tag=pcbuilder00-20
336.47,Intel,Core i7-10700KF,8,16,LGA 1200,3.8,5.1,None,DDR4,2933,https://amazon.com/dp/B0883NG13L?tag=pcbuilder00-20
365.95,AMD,Ryzen 5 3600XT,6,12,AM4,3.8,4.5,None,DDR4,3200,https://amazon.com/dp/B089WC4VWF?tag=pcbuilder00-20
436.99,Intel,Core i9-9900K,8,16,LGA 1151,3.6,5,Intel UHD Graphics 630,DDR4,2666,https://amazon.com/dp/B005404P9I?tag=pcbuilder00-20
314.99,Intel,Core i9-9900KF,8,16,LGA 1151,3.6,5,None,DDR4,2666,https://amazon.com/dp/B07MGBZWDZ?tag=pcbuilder00-20
269.47,Intel,Core i5-11600,6,12,LGA 1200,2.8,4.8,Intel UHD Graphics 750,DDR4,3200,https://amazon.com/dp/B08X5XWNTB?tag=pcbuilder00-20
184.44,AMD,Ryzen 5 3600X,6,12,AM4,3.8,4.4,None,DDR4,3200,https://amazon.com/dp/B07SQBFN2D?tag=pcbuilder00-20
625,Intel,Core i7-9800X,8,16,LGA 2066,3.8,4.5,None,DDR4,2666,https://amazon.com/dp/B07JGCSMJX?tag=pcbuilder00-20
135.99,Intel,Core i5-11400F,6,12,LGA 1200,2.6,4.4,None,DDR4,3200,https://amazon.com/dp/B08X6SZ184?tag=pcbuilder00-20
94.99,AMD,Ryzen 5 3600,6,12,AM4,3.6,4.2,None,DDR4,3200,https://amazon.com/dp/B07STGGQ18?tag=pcbuilder00-20
169.27,Intel,Core i5-11400,6,12,LGA 1200,2.6,4.4,Intel UHD Graphics 730,DDR4,3200,https://amazon.com/dp/B08X6JPK4K?tag=pcbuilder00-20
222.77,Intel,Core i5-11500,6,12,LGA 1200,2.7,4.6,Intel UHD Graphics 750,DDR4,3200,https://amazon.com/dp/B08X6BCPGD?tag=pcbuilder00-20
198.97,AMD,Ryzen 7 2700X,8,16,AM4,3.7,4.3,None,DDR4,2933,https://amazon.com/dp/B07B428M7F?tag=pcbuilder00-20
243.75,Intel,Core i7-10700,8,16,LGA 1200,2.9,4.8,Intel UHD Graphics 630,DDR4,2933,https://amazon.com/dp/B086MG1C7C?tag=pcbuilder00-20
300,Intel,Core i7-7820X,8,16,LGA 2066,3.6,4.3,None,DDR4,2666,https://amazon.com/dp/B072NF4BY3?tag=pcbuilder00-20
265.44,Intel,Core i7-10700F,8,16,LGA 1200,2.9,4.8,None,DDR4,2933,https://amazon.com/dp/B0883MBXZ7?tag=pcbuilder00-20
350,Intel,Core i9-9900,8,16,LGA 1151,3.1,5,None,DDR4,2666,https://amazon.com/dp/B07RXX3Y2T?tag=pcbuilder00-20
294,Intel,Core i7-6950X,10,20,LGA 2011,3,4,None,DDR4,2400,https://amazon.com/dp/B01FJLA9IM?tag=pcbuilder00-20
89.99,AMD,Ryzen Threadripper 1900X,8,16,sTR4,3.8,4,None,DDR4,2667,https://amazon.com/dp/B0754JNQBP?tag=pcbuilder00-20
295,AMD,Ryzen 7 1800X,8,16,AM4,3.6,4,None,DDR4,2667,https://amazon.com/dp/B06W9JXK4G?tag=pcbuilder00-20
180,AMD,Ryzen 7 2700,8,16,AM4,3.2,4.1,None,DDR4,2933,https://amazon.com/dp/B07B41717Z?tag=pcbuilder00-20
99.96,AMD,Ryzen 5 4600G,6,12,AM4,3.7,4.2,Radeon Vega 7,DDR4,3200,https://amazon.com/dp/B09Z5NH6SJ?tag=pcbuilder00-20
450,AMD,Ryzen 7 1700X,8,16,AM4,3.4,3.8,None,DDR4,2667,https://amazon.com/dp/B07PHD73V6?tag=pcbuilder00-20
159.62,Intel,Core i5-10600K,6,12,LGA 1200,4.1,4.8,Intel UHD Graphics 630,DDR4,2666,https://amazon.com/dp/B086MHSH2C?tag=pcbuilder00-20
145.99,Intel,Core i3-13100,4,8,LGA 1700,3.4,4.5,Intel UHD Graphics 730,DDR5,4800,https://amazon.com/dp/B0BQ6CTTMK?tag=pcbuilder00-20
649.95,Intel,Core i7-8086K,6,12,LGA 1151,4,5,Intel UHD Graphics 630,DDR4,2666,https://amazon.com/dp/B07DGDWJ3P?tag=pcbuilder00-20
284.02,Intel,Core i7-9700KF,8,8,LGA 1151,3.6,4.9,None,DDR4,2666,https://amazon.com/dp/B07MJXYX62?tag=pcbuilder00-20
111.98,Intel,Core i3-13100F,4,8,LGA 1700,3.4,4.5,None,DDR5,4800,https://amazon.com/dp/B0BQ6BCWC4?tag=pcbuilder00-20
264.21,Intel,Core i7-9700K,8,8,LGA 1151,3.6,4.9,Intel UHD Graphics 630,DDR4,2666,https://amazon.com/dp/B07HHN6KBZ?tag=pcbuilder00-20
169.99,Intel,Core i5-10600KF,6,12,LGA 1200,4.1,4.8,None,DDR4,2666,https://amazon.com/dp/B086M8441R?tag=pcbuilder00-20
215,AMD,Ryzen 7 1700,8,16,AM4,3,3.7,None,DDR4,2667,https://amazon.com/dp/B06WP5YCX6?tag=pcbuilder00-20
112.67,Intel,Core i3-12100F,4,8,LGA 1700,3.3,4.3,None,DDR5,4800,https://amazon.com/dp/B09NPJX7PV?tag=pcbuilder00-20
136.02,Intel,Core i3-12100,4,8,LGA 1700,3.3,4.3,Intel UHD Graphics 730,DDR5,4800,https://amazon.com/dp/B09NPHJLPT?tag=pcbuilder00-20
299.95,Intel,Core i5-10600,6,12,LGA 1200,3.3,4.8,Intel UHD Graphics 630,DDR4,2666,https://amazon.com/dp/B0883PYCB7?tag=pcbuilder00-20
210,AMD,Ryzen 5 2600X,6,12,AM4,3.6,4.2,None,DDR4,2933,https://amazon.com/dp/B07B428V2L?tag=pcbuilder00-20
211.16,Intel,Core i7-8700K,6,12,LGA 1151,3.7,4.7,Intel UHD Graphics 630,DDR4,2666,https://amazon.com/dp/B07598VZR8?tag=pcbuilder00-20
285.19,Intel,Core i7-9700F,8,8,LGA 1151,3,4.7,None,DDR4,2666,https://amazon.com/dp/B07S8DWXT3?tag=pcbuilder00-20
290.26,Intel,Core i7-9700,8,8,LGA 1151,3,4.7,Intel UHD Graphics 630,DDR4,2666,https://amazon.com/dp/B07S6CRLVD?tag=pcbuilder00-20
204.5,Intel,Core i5-10500,6,12,LGA 1200,3.1,4.5,Intel UHD Graphics 630,DDR4,2666,https://amazon.com/dp/B086MW76DW?tag=pcbuilder00-20
165,AMD,Ryzen 5 2600,6,12,AM4,3.4,3.9,None,DDR4,2933,https://amazon.com/dp/B07B41WS48?tag=pcbuilder00-20
270,Intel,Core i7-8700,6,12,LGA 1151,3.2,4.6,Intel UHD Graphics 630,DDR4,2666,https://amazon.com/dp/B07598HLB4?tag=pcbuilder00-20
140,AMD,Ryzen 5 1600X,6,12,AM4,3.6,4,None,DDR4,2667,https://amazon.com/dp/B06XKWT7GD?tag=pcbuilder00-20
140.25,Intel,Core i5-10400,6,12,LGA 1200,2.9,4.3,Intel UHD Graphics 630,DDR4,2666,https://amazon.com/dp/B086MN38Q2?tag=pcbuilder00-20
178.7,AMD,Ryzen 3 3300X,4,8,AM4,3.8,4.3,None,DDR4,3200,https://amazon.com/dp/B0876YS2T4?tag=pcbuilder00-20
111,Intel,Core i5-10400F,6,12,LGA 1200,2.9,4.3,None,DDR4,2666,https://amazon.com/dp/B086MHSTWN?tag=pcbuilder00-20
388,Intel,Core i7-7800X,6,12,LGA 2066,3.5,4,None,DDR4,2400,https://amazon.com/dp/B071H1B3Z1?tag=pcbuilder00-20
120,AMD,Ryzen 5 1600,6,12,AM4,3.2,3.6,None,DDR4,2667,https://amazon.com/dp/B07XTQZJ28?tag=pcbuilder00-20
89.99,AMD,Ryzen 3 3100,4,8,AM4,3.6,3.9,None,DDR4,3200,https://amazon.com/dp/B0876Y2TMZ?tag=pcbuilder00-20
235,Intel,Core i7-6850K,6,12,LGA 2011,3.6,4,None,DDR4,2400,https://amazon.com/dp/B01FJLAITC?tag=pcbuilder00-20
152,Intel,Core i7-6900K,8,16,LGA 2011,3.2,4,None,DDR4,2400,https://amazon.com/dp/B01FJLAIG0?tag=pcbuilder00-20
244.88,Intel,Core i5-9600,6,6,LGA 1151,3.1,4.6,Intel UHD Graphics 630,DDR4,2666,https://amazon.com/dp/B07S1Q396F?tag=pcbuilder00-20
220.12,Intel,Core i5-9600KF,6,6,LGA 1151,3.7,4.6,None,DDR4,2666,https://amazon.com/dp/B07MQP5LNM?tag=pcbuilder00-20
198.12,Intel,Core i5-9600K,6,6,LGA 1151,3.7,4.6,Intel UHD Graphics 630,DDR4,2666,https://amazon.com/dp/B07HHLX1R8?tag=pcbuilder00-20
290,Intel,Core i7-6800K,6,12,LGA 2011,3.4,3.8,None,DDR4,2400,https://amazon.com/dp/B01FJLA8NI?tag=pcbuilder00-20
189.95,Intel,Core i5-9500F,6,6,LGA 1151,3,4.4,None,DDR4,2666,https://amazon.com/dp/B07S6CRJML?tag=pcbuilder00-20
133.91,Intel,Core i3-10320,4,8,LGA 1200,3.8,4.6,Intel UHD Graphics 630,DDR4,2666,https://amazon.com/dp/B086M4KSMW?tag=pcbuilder00-20
250,Intel,Core i5-8600K,6,6,LGA 1151,3.6,4.3,Intel UHD Graphics 630,DDR4,2666,https://amazon.com/dp/B0759FKH8K?tag=pcbuilder00-20
195,Intel,Core i7-7740X,4,8,LGA 2066,4.3,4.5,None,DDR4,2666,https://amazon.com/dp/B072KTRQ9G?tag=pcbuilder00-20
179.88,Intel,Core i5-8600,6,6,LGA 1151,3.1,4.3,Intel UHD Graphics 630,DDR4,2666,https://amazon.com/dp/B0793CD3V2?tag=pcbuilder00-20
280,Intel,Core i7-7700K,4,8,LGA 1151,4.2,4.5,Intel HD Graphics 630,DDR4,2400,https://amazon.com/dp/B01MXSI216?tag=pcbuilder00-20
179.91,Intel,Core i5-9400,6,6,LGA 1151,2.9,4.1,Intel UHD Graphics 630,DDR4,2666,https://amazon.com/dp/B07MGZ9FJZ?tag=pcbuilder00-20
135,Intel,Core i5-9400F,6,6,LGA 1151,2.9,4.1,None,DDR4,2666,https://amazon.com/dp/B07MRCGQQ4?tag=pcbuilder00-20
177,Intel,Core i5-8500,6,6,LGA 1151,3,4.1,Intel UHD Graphics 630,DDR4,2666,https://amazon.com/dp/B07938SNBB?tag=pcbuilder00-20
139.99,AMD,Ryzen 5 3400G,4,8,AM4,3.7,4.2,Radeon RX Vega 11,DDR4,2933,https://amazon.com/dp/B07SXNDKNM?tag=pcbuilder00-20
197.36,Intel,Core i3-10300,4,8,LGA 1200,3.6,4.3,Intel UHD Graphics 630,DDR4,2666,https://amazon.com/dp/B086M8V695?tag=pcbuilder00-20
230,Intel,Core i5-9500,6,6,LGA 1151,3,4.4,Intel UHD Graphics 630,DDR4,2666,https://amazon.com/dp/B07S4MSXJL?tag=pcbuilder00-20
160,Intel,Core i5-8400,6,6,LGA 1151,2.8,4,Intel UHD Graphics 630,DDR4,2666,https://amazon.com/dp/B0759FGJ3Q?tag=pcbuilder00-20
79.99,Intel,Core i3-10105F,4,8,LGA 1200,3.7,4.4,None,DDR4,2666,https://amazon.com/dp/B092CCJ2GZ?tag=pcbuilder00-20
225,AMD,Ryzen 5 1500X,4,8,AM4,3.5,3.7,None,DDR4,2667,https://amazon.com/dp/B06XKVNRSM?tag=pcbuilder00-20
105,Intel,Core i3-10100,4,8,LGA 1200,3.6,4.3,Intel UHD Graphics 630,DDR4,2666,https://amazon.com/dp/B086MMRW87?tag=pcbuilder00-20
250,Intel,Core i7-6700K,4,8,LGA 1151,4,4.2,Intel HD Graphics 530,DDR4,2133,https://amazon.com/dp/B010T6DQTQ?tag=pcbuilder00-20
135,AMD,Ryzen 5 2400G,4,8,AM4,3.6,3.9,Radeon RX Vega 11,DDR4,2933,https://amazon.com/dp/B079D8FD28?tag=pcbuilder00-20
75.97,Intel,Core i3-10100F,4,8,LGA 1200,3.6,4.3,None,DDR4,2666,https://amazon.com/dp/B08LKJPR5X?tag=pcbuilder00-20
285,Intel,Core i7-7700,4,8,LGA 1151,3.6,4.2,Intel HD Graphics 630,DDR4,2400,https://amazon.com/dp/B01N0L41N7?tag=pcbuilder00-20
