Price,Brand,Model,Power,Efficiency,Link
105,ASUS,TUF GAMING 750B,750,80+ Bronze,https://amazon.com/dp/B08SBY73C2?tag=pcbuilder00-20
69.99,ASUS,ROG Strix 550W,550,80+ Gold,https://amazon.com/dp/B08461YPSD?tag=pcbuilder00-20
99,ASUS,ROG Strix 650,650,80+ Gold,https://amazon.com/dp/B07YXKM3KZ?tag=pcbuilder00-20
106.53,ASUS,ROG Strix,750,80+ Gold,https://amazon.com/dp/B07YXKMGX7?tag=pcbuilder00-20
230.99,ASUS,90YE00P3-B0NA00,750,80+ Gold,https://amazon.com/dp/B0BPM8PHDY?tag=pcbuilder00-20
124.99,ASUS,ROG-STRIX-850G,850,80+ Gold,https://amazon.com/dp/B08BPLJQMP?tag=pcbuilder00-20
229.99,ASUS,ROG Strix,850,80+ Gold,https://amazon.com/dp/B08BX7JXC3?tag=pcbuilder00-20
279,ASUS,TUF Gaming 850G,850,80+ Gold,https://amazon.com/dp/B0BK541686?tag=pcbuilder00-20
281.59,ASUS,90YE00P2-B0NA00,850,80+ Gold,https://amazon.com/dp/B0BPM6JXZJ?tag=pcbuilder00-20
169.99,ASUS,ROG-STRIX-1000G,1000,80+ Gold,https://amazon.com/dp/B08X7BKLWS?tag=pcbuilder00-20
171.36,ASUS,TUF-GAMING-1000G,1000,80+ Gold,https://amazon.com/dp/B0BZWZYTWJ?tag=pcbuilder00-20
530.18,ASUS,90YE00P0-B0NA00,1200,80+ Gold,https://amazon.com/dp/B0C65T6F8N?tag=pcbuilder00-20
289.35,ASUS,90YE00N4-B0NA00,750,80+ Platinum,https://amazon.com/dp/B0BHJB4VG7?tag=pcbuilder00-20
153.61,ASUS,ROG-THOR-850P2-GAMING,850,80+ Platinum,https://amazon.com/dp/B0C3ZLPNPM?tag=pcbuilder00-20
139.99,ASUS,ROG Thor 850,852,80+ Platinum,https://amazon.com/dp/B07JZLGPCB?tag=pcbuilder00-20
269.67,ASUS,ROG-THOR-1000P2-GAMING,1000,80+ Platinum,https://amazon.com/dp/B09SGQ9PPC?tag=pcbuilder00-20
400.36,ASUS,ROG-THOR-1000P2-EVA-GAMING,1000,80+ Platinum,https://amazon.com/dp/B0BB6BJW27?tag=pcbuilder00-20
303.46,ASUS,ROG-THOR-1200P2-GAMING,1200,80+ Platinum,https://amazon.com/dp/B0BWGWV29G?tag=pcbuilder00-20
320.26,ASUS,Rog Thor,1200,80+ Platinum,https://amazon.com/dp/B07JZHLC4M?tag=pcbuilder00-20
723.09,ASUS,ROG THOR 1600T Gaming,1600,80+ Titanium,https://amazon.com/dp/B0BWH7LDN5?tag=pcbuilder00-20
129.68,Athena,4328505557,400,80+ Bronze,https://amazon.com/dp/B0137D0TNO?tag=pcbuilder00-20
