Title,Price,Brand,Model,Link
ID-COOLING DASHFLOW 240 Basic Black CPU Water Cooler LGA1700,69.99,ID-COOLING,DASHFLOW 240 BASIC,https://amazon.com/dp/B0BFPLDPL5?tag=pcbuilder00-20
"DEEPCOOL AS500 Plus CPU Air Cooler, Universal RAM Height Compatibility, Two 140mm PWM Fan, A-RGB Top Cover, 5 Heat Pipe Design",69.99,DEEP COOL,AS500,https://amazon.com/dp/B08PYPGMFQ?tag=pcbuilder00-20
Thermaltake V1 CPU Cooler,69.99,Thermaltake,P0401,https://amazon.com/dp/B000PTIX50?tag=pcbuilder00-20
ARCTIC Freezer 50 (incl. A-RGB Controller) - Multi Compatible Dual Tower CPU Cooler with A-RGB CPU Cooler for AMD and Intel,70.56,ARCTIC,Freezer 50,https://amazon.com/dp/B08J87T6W4?tag=pcbuilder00-20
"Raijintek Juno X CPU Air Cooler, Red",70.77,Raijintek,JUNO-X,https://amazon.com/dp/B0734Z1GT6?tag=pcbuilder00-20
Enermax Side-Flow CPU Cooler,71.21,Enermax,FBA_ETS-T40F-BK,https://amazon.com/dp/B012NI8RRE?tag=pcbuilder00-20
Cooler Master Hyper 212 LED Turbo- Red Top Cover is Equipped with Dual 120mm PWM Fans Red LEDs CPU Cooler,71.99,Cooler Master,Hyper 212 LED Turbo,https://amazon.com/dp/B06VWX2QLT?tag=pcbuilder00-20
PHANTEKS 5x?8mm Dual Heat-Pipes Dual 140mm Premium Fans and Quiet CPU Cooler with patented P.A.T.S coating,72.36,Phanteks,PH-TC14PE,https://amazon.com/dp/B005OREE38?tag=pcbuilder00-20
"CoolerMaster MasterLiquid ML120L RGB V2, Close-Loop AIO CPU Liquid Cooler, 120 Radiator, SickleFlow 120mm, RGB Lighting, 3rd Gen Dual Chamber Pump for AMD Ryzen/Intel LGA1200/1151",72.99,Cooler Master,MasterLiquid ML120L RGB V2,https://amazon.com/dp/B086C1PK2Y?tag=pcbuilder00-20
"Jonsbo HX6200D CPU-Kühler - 120mm, wei?",74.5,Jonsbo,HX6200D White,https://amazon.com/dp/B09TYWF5V7?tag=pcbuilder00-20
"Noctua NH-U12DX i4, Premium CPU Cooler for Intel Xeon LGA20xx (Brown)",74.95,Noctua,NH U12D,https://amazon.com/dp/B00DWFQ42I?tag=pcbuilder00-20
"ID-COOLING AURAFLOW X 240 Snow CPU Water Cooler 12V RGB AIO Cooler 240mm CPU Liquid Cooler 2X120mm RGB Fan, Intel 115X/1200/2066, AMD AM4/AM5",74.99,ID-COOLING,AURAFLOW X 240 SNOW,https://amazon.com/dp/B084GKZVBX?tag=pcbuilder00-20
"ID-COOLING AURAFLOW X 240 CPU Water Cooler RGB CPU Liquid Cooler 240mm AIO Cooler MB Sync 12V 4PIN Connector 2X120mm RGB Fan, Intel 1700/115X/1200/2066, AMD AM4/AM5",74.99,ID-COOLING,AURAFLOW X 240,https://amazon.com/dp/B07RK4R53X?tag=pcbuilder00-20
Cooler Master Hyper 212 Plus - CPU Cooler with 4 Direct Contact Heat Pipes,74.99,Cooler Master,Hyper 212 Plus,https://amazon.com/dp/B002G1YPH0?tag=pcbuilder00-20
MSI MAG Coreliquid P240 - AIO CPU Liquid Cooler - LGA 1700 Ready - 240mm Radiator - Dual 120mm PWM Fans,74.99,MSI,MAG CORELIQUID P240,https://amazon.com/dp/B09931VWWM?tag=pcbuilder00-20
RAIJINTEK AIDOS 92mm CPU Cooler,74.99,Raijintek,0P105246,https://amazon.com/dp/B00GOVA3XI?tag=pcbuilder00-20
Thermaltake Frio Extreme Universal CPU Cooler with Ultimate Over-Clocking Support of 250W TDP Dual 140mm VR/PWM Fans,74.99,Thermaltake,CLP0587,https://amazon.com/dp/B007UIX1RY?tag=pcbuilder00-20
Raijintek DELOS RBW CPU Air Cooler,75.25,Raijintek,0R10B00096,https://amazon.com/dp/B07NQ1M1N6?tag=pcbuilder00-20
Thermalright Macho Direct,76.06,Thermalright,Macho Direct,https://amazon.com/dp/B019CRDELS?tag=pcbuilder00-20
Cooler Master Hyper 212 - White Edition - Prozessorkühler,77.81,Cooler Master,RR-212L-16PW-R1,https://amazon.com/dp/B07YFVVQ7B?tag=pcbuilder00-20
"GameMax Ice Chill 120mm ARGB AIO Water Cooling System, Infinty Mirror Design",78.04,GAMEMAX,Ice Chill 120,https://amazon.com/dp/B08522PRWX?tag=pcbuilder00-20
"Cooler Master MasterAir MA410M Addressable RGB CPU Air Cooler w/ Independently LEDs, 4 Continuous Direct Contact 2.0 Heatpipes, Aluminum Fins",78.24,Cooler Master,MasterAir MA410M,https://amazon.com/dp/B07CPYM6NR?tag=pcbuilder00-20
"Alpenföhn Dolomit Premium - 120mm, schwarz",78.79,Alpenföhn,84000000183,https://amazon.com/dp/B09H78DVCB?tag=pcbuilder00-20
Raijintek Ventirad 0R10B00094 MYA RBW Rainbow LED Fan 120 mm,78.85,Raijintek,0R10B00094,https://amazon.com/dp/B07M8DW57X?tag=pcbuilder00-20
"Thermaltake TH120 ARGB Motherboard Sync Snow Edition Intel LGA1700 Ready/AMD AM5 All-in-One Liquid Cooling System 120mm High Efficiency Radiator CPU Cooler CL-W346-PL12SW-A, White",78.99,Thermaltake,TH120,https://amazon.com/dp/B09LXCSF4Z?tag=pcbuilder00-20
Raijintek Watercooling Orcus RGB Rainbow - 120 mm,78.99,Raijintek,0R10B00102,https://amazon.com/dp/B07NW8XWTV?tag=pcbuilder00-20
Gelid Solutions Liquid 240 ??All-in-One CPU AIO Water Cooler with 2X 120mm RGB Fan,79,Gelid Solutions,CC-AIO-240-A,https://amazon.com/dp/B0BV6Z9MN2?tag=pcbuilder00-20
Macho Rev. B,79.14,Thermalright,Macho Rev.B,https://amazon.com/dp/B00PKJ21LW?tag=pcbuilder00-20
Cooler Master RR-212X-20PM-A1 Hyper 212X CPU Cooler with Dual Fan (2) x 120 mm,79.47,Cooler Master,Hyper 212X,https://amazon.com/dp/B01IBSR18G?tag=pcbuilder00-20
Silverstone SST-HYD120-ARGB-V2 6 Heat Pipes and Dual 4.7 inches (120 mm),79.64,SilverStone Technology,SST-HYD120-ARGB-V2,https://amazon.com/dp/B0BCV5Z32K?tag=pcbuilder00-20
"Noctua NH-U12S TR4-SP3, Premium-Grade CPU Cooler for AMD sTRX4/TR4/SP3 (120mm, Brown)",79.9,Noctua,NH U12S,https://amazon.com/dp/B074DW3FS2?tag=pcbuilder00-20
"Noctua NH-U12S chromax.Black, 120mm Single-Tower CPU Cooler (Black)",79.95,Noctua,NH U12S,https://amazon.com/dp/B07Y88BNYZ?tag=pcbuilder00-20
"Noctua NH-U14S, Premium CPU Cooler with NF-A15 140mm Fan (Brown)",79.95,Noctua,NH U14S,https://amazon.com/dp/B00C9FLSLY?tag=pcbuilder00-20
"Noctua NH-C14S, Premium CPU Cooler with NF-A14 PWM 140mm Fan (Brown)",79.95,Noctua,NH C14S,https://amazon.com/dp/B00XUV3JTK?tag=pcbuilder00-20
"Noctua NH-U9 TR4-SP3, Premium CPU Cooler for AMD sTRX4/TR4/SP3 (92mm, Brown)",79.95,Noctua,NH U9,https://amazon.com/dp/B074DXFB66?tag=pcbuilder00-20
DeepCool Liquid Cooler LS320 120mm 4th Gen Dual-Chamber Pump 3100RPM AIO Cooler Anti-Leak Tech with PWM Fan ARGB CPU Water Cooler Infinity Mirror RGB for AMD AM4/AM5 LGA 1700/1200/1151/1150/1155,79.99,DEEP COOL,Liquid Cooler LS320,https://amazon.com/dp/B09Y1LTTZJ?tag=pcbuilder00-20
Enermax Liqmax III 360 - Triple 120mm Fan aRGB {5v 3-Pin} - Dual Chamber AIO CPU Liquid Cooler - Intel/AMD AM4 Support - 300W+ TDP Cooling,79.99,Enermax,Liqmax III 360 ARGB,https://amazon.com/dp/B07YFB6X2B?tag=pcbuilder00-20
Asus ROG RYUO 120 RGB AIO Liquid CPU Cooler 120mm Radiator (120mm 4-Pin PWM Fan) with Livedash OLED Panel and Fanxpert CONTROLS,79.99,ASUS,ROG RYUO 120,https://amazon.com/dp/B07H2MHYY5?tag=pcbuilder00-20
ID-COOLING ZOOMFLOW 240X ARGB CPU Water Cooler 5V Addressable RGB AIO Cooler 240mm CPU Liquid Cooler 2X120mm RGB Fan,79.99,ID-COOLING,ZOOMFLOW 240X ARGB,https://amazon.com/dp/B085PXXQWC?tag=pcbuilder00-20
"Vetroo V240 Liquid CPU Cooler for Gaming Console, 240mm Addressable RGB & PWM Pump",79.99,Vetroo,VT-AIO-V240-BK,https://amazon.com/dp/B08L8PQ3ZF?tag=pcbuilder00-20
Le Grand Macho RT (with Fan TY-147B),79.99,Thermalright,Le Grand Macho RT,https://amazon.com/dp/B01BCLXO7Q?tag=pcbuilder00-20
Cooler Master Wraith Ripper TR4 CPU Cooling System,79.99,Cooler Master,Wraith Ripper,https://amazon.com/dp/B07H9JLKCR?tag=pcbuilder00-20
Thermalright Silver Arrow 130,79.99,Thermalright,SILVER ARROW 130,https://amazon.com/dp/B07TFX446Y?tag=pcbuilder00-20
"Zalman CNPS 20x CPU Cooler with 4D Patented Corrugated Fin Design, RGB SYNC for Intel & AMD, 140mm",79.99,Zalman,CNPS 20x,https://amazon.com/dp/B084ZWZXKX?tag=pcbuilder00-20
Thermalright Silver Arrow T8 CPU Cooler,79.99,Thermalright,SilverArrow T8,https://amazon.com/dp/B07NDXLT6T?tag=pcbuilder00-20
"ZEUS GAMDIAS CPU Liquid Cooler 240mm RGB for Gaming PC, Computers with 2 Dual Ring RGB Fans, AIO Lighting Cooling Kit, All-in-One CPU Water Cooler with Radiator, Remote and Hub",79.99,ZEUS GAMDIAS,GD-CHIONE M2-240R,https://amazon.com/dp/B08C7FMCPY?tag=pcbuilder00-20
"Raijintek EOS 240 RBW All in One CPU Cooler, 240mm",80,Raijintek,0R10B00174,https://amazon.com/dp/B0846MCPPB?tag=pcbuilder00-20
"Cooler Master MasterLiquid Lite 120 CPU Liquid Cooler '120mm Radiator, 1x MasterFan Pro 120 AB PWM Fan",81.13,Cooler Master,MasterLiquid Lite 120,https://amazon.com/dp/B06WRRDS73?tag=pcbuilder00-20
"EK AIO Basic 240mm All-in-One Liquid CPU Cooler with EK-Vardar High-Performance PMW Fans, Water Cooling Computer Parts, 120mm Fan",82.44,EK,AIO-BASIC-240,https://amazon.com/dp/B08WC58NKZ?tag=pcbuilder00-20
RAIJINTEK AIDOS 92mm CPU Cooler for Intel LGA 201x/1366/115x/775 & AMD Socket,82.79,Raijintek,0P105245,https://amazon.com/dp/B00QMZIPWC?tag=pcbuilder00-20
Thermaltake TH120 ARGB Sync All-in-One 120mm Liquid Cooler,83.19,Thermaltake,TH120 ARGB Sync,https://amazon.com/dp/B088R143R6?tag=pcbuilder00-20
"COOLER MASTER MasterLiquid ML240L V2 RGB White Edition, Close-Loop AIO CPU Liquid Cooler, 3rd Gen Dual Chamber Pump, 240 Radiator",83.29,Cooler Master,MasterLiquid ML240L V2,https://amazon.com/dp/B08X51PYY5?tag=pcbuilder00-20
"SilverStone SST-NT06-PRO-V2 - Nitrogon CPU Cooler 6 Heatpipe, 120mm PWM, Intel/AMD, AM4 Ready",84,SilverStone Technology,90154,https://amazon.com/dp/B0722KC7BD?tag=pcbuilder00-20
"Enermax Liqmax III 360 White A-RGB AIO CPU Liquid Cooler - 360mm Radiator, 120mm ARGB PWM Fan, for Intel LGA1700/AMD AM5",84.99,Enermax,Liqmax III 360,https://amazon.com/dp/B08K3PM5WZ?tag=pcbuilder00-20
ID-COOLING ZOOMFLOW 240X Snow CPU Water Cooler 5V Addressable RGB AIO Cooler 240mm CPU Liquid Cooler 2X120mm RGB Fan,84.99,ID-COOLING,ZOOMFLOW 240X SNOW,https://amazon.com/dp/B084GLGJN5?tag=pcbuilder00-20
Vetroo V240 White Liquid CPU Cooler 240mm Addressable RGB & PWM Pump & Fans AIO Water Cooler w/Controller Hub for Intel LGA 1700/1200/115X AMD AM5,84.99,Vetroo,V240,https://amazon.com/dp/B08L8PSMDS?tag=pcbuilder00-20
"EK AIO 280mm, D-RGB All-in-One CPU Cooler with EK-Vardar High-Performance PMW Fans, Water Cooling Computer Parts, 140mm Fan, Intel 115X/1200/2066, AMD AM4",85.19,EK,"AIO 280mm, D-RGB",https://amazon.com/dp/B00K0BN4QQ?tag=pcbuilder00-20
"be quiet! BK031 Dark Rock TF 2, 230W TDP, CPU Cooler, Intel-1200/2066/1150/1151/1155/2011(-3) Square ILM, AMD-AM4/AM3(+)",85.9,be quiet!,Dark Rock TF,https://amazon.com/dp/B09BCWPG1S?tag=pcbuilder00-20
"CoolerMaster MasterLiquid ML240L RGB V2, Close-Loop AIO CPU Liquid Cooler, 240 Radiator, Dual SickleFlow 120mm, RGB Lighting, 3rd Gen Dual Chamber Pump",86.87,Cooler Master,MasterLiquid ML240L RGB,https://amazon.com/dp/B086BYYFG5?tag=pcbuilder00-20
"ARCTIC Liquid Freezer II 120 - Multi Compatible All-in-One CPU AIO Water Cooler, Compatible with Intel & AMD, Efficient PWM Controlled Pump, Fan Speed: 200-1800 RPM",88.25,ARCTIC,Liquid Freezer II,https://amazon.com/dp/B07WRCY747?tag=pcbuilder00-20
"CoolerMaster MasterLiquid ML240L ARGB V2, Close-Loop AIO CPU Liquid Cooler",88.99,Cooler Master,MLW-D24M-A18PA-R2,https://amazon.com/dp/B08LMRRX3W?tag=pcbuilder00-20
"be quiet! Dark Rock Pro 4, BK022, 250W TDP, CPU Cooler",89.9,be quiet!,Dark Rock Pro 4,https://amazon.com/dp/B07BY6F8D9?tag=pcbuilder00-20
