Price,Brand,Model,Cabinet Type,Link
249.99,ASUS,ROG Strix Helios,ATX Full Tower,https://amazon.com/dp/B07T28NZZ3?tag=pcbuilder00-20
252.02,Thermaltake,View 51,ATX Full Tower,https://amazon.com/dp/B08451HFPR?tag=pcbuilder00-20
254.28,COUGAR,Panzer EVO,ATX Full Tower,https://amazon.com/dp/B07F13WPCB?tag=pcbuilder00-20
254.41,Cooler Master,MasterFrame 700,ATX Full Tower,https://amazon.com/dp/B08S6XZ219?tag=pcbuilder00-20
255.92,Lian Li,O11D XL-X,ATX Full Tower,https://amazon.com/dp/B07R7DXCCH?tag=pcbuilder00-20
256,Fractal Design,Define 7 XL,ATX Full Tower,https://amazon.com/dp/B08146HTV5?tag=pcbuilder00-20
258,Lian Li,O11D XL-A,ATX Full Tower,https://amazon.com/dp/B07ZJZKXGM?tag=pcbuilder00-20
259,Lian Li,Odyssey X Silver,ATX Full Tower,https://amazon.com/dp/B0995S2QRM?tag=pcbuilder00-20
264.99,Thermaltake,Tower 900,ATX Full Tower,https://amazon.com/dp/B01N1GP2GZ?tag=pcbuilder00-20
266,Rosewill,THOR V2,ATX Full Tower,https://amazon.com/dp/B0058P5S9A?tag=pcbuilder00-20
269.99,Corsair,7000D AIRFLOW,ATX Full Tower,https://amazon.com/dp/B09444VWX2?tag=pcbuilder00-20
269.99,Phanteks,Enthoo Primo,ATX Full Tower,https://amazon.com/dp/B00SKAWE3S?tag=pcbuilder00-20
279.9,be quiet!,Dark Base PRO 900,ATX Full Tower,https://amazon.com/dp/B07DWDQFSX?tag=pcbuilder00-20
279.99,Phanteks,PH-ES813P_BL,ATX Full Tower,https://amazon.com/dp/B00EB0A6FE?tag=pcbuilder00-20
280.04,Corsair,CC-9011227-WW,ATX Full Tower,https://amazon.com/dp/B094464GV5?tag=pcbuilder00-20
285.45,be quiet!,Dark Base 900,ATX Full Tower,https://amazon.com/dp/B01H6JQAJ2?tag=pcbuilder00-20
289.9,ANIDEES,AI CRYSTAL XL PRO LITE,ATX Full Tower,https://amazon.com/dp/B081M3JJ5C?tag=pcbuilder00-20
293.01,Phanteks,Enthoo Primo,ATX Full Tower,https://amazon.com/dp/B00HRJHEWO?tag=pcbuilder00-20
297.76,Thermaltake,Tower 900 Snow,ATX Full Tower,https://amazon.com/dp/B01MTOVX8D?tag=pcbuilder00-20
298.07,Phanteks,Enthoo Primo,ATX Full Tower,https://amazon.com/dp/B00S3964FA?tag=pcbuilder00-20
299,Lian Li,Odyssey X Black,ATX Full Tower,https://amazon.com/dp/B0995Q6TND?tag=pcbuilder00-20
299.99,Cooler Master,9B11-119-437,ATX Full Tower,https://amazon.com/dp/B0B57G9BHC?tag=pcbuilder00-20
299.99,Thermaltake,AH T600 Snow,ATX Full Tower,https://amazon.com/dp/B084JKHHZ4?tag=pcbuilder00-20
299.99,Thermaltake,AH T600,ATX Full Tower,https://amazon.com/dp/B084QH12KV?tag=pcbuilder00-20
301.48,Thermaltake,View 51 TG,ATX Full Tower,https://amazon.com/dp/B083Z1PVRH?tag=pcbuilder00-20
313.85,be quiet!,Dark Base 900,ATX Full Tower,https://amazon.com/dp/B01H6JOECW?tag=pcbuilder00-20
319.9,A ANIDEES,Crystal XL RGB V3,ATX Full Tower,https://amazon.com/dp/B07NW42KN9?tag=pcbuilder00-20
323.1,ASUS,ROG Strix Helios GX601,ATX Full Tower,https://amazon.com/dp/B0896Y1K7B?tag=pcbuilder00-20
346.23,be quiet!,Dark Base PRO 900,ATX Full Tower,https://amazon.com/dp/B07DW6XF3G?tag=pcbuilder00-20
