Price,Brand,Model,Ram size,Quantity,Ram type,Ram speed,CAS latency,Link
21.99,Patriot Memory,Viper 3,8,2,DDR3,1600,9,https://amazon.com/dp/B008LTJJM2?tag=pcbuilder00-20
21.99,Patriot Memory,PSD38G16002,8,1,DDR3,1600,11,https://amazon.com/dp/B007HILOWG?tag=pcbuilder00-20
22.59,Kingston,KVR16N11S8/4,4,1,DDR3,1600,11,https://amazon.com/dp/B008CP5QR2?tag=pcbuilder00-20
22.99,Patriot Memory,PVE248G400C0,8,1,DDR4,4000,20,https://amazon.com/dp/B0957X865F?tag=pcbuilder00-20
22.99,OLOy,MD4U083016BBSA,8,1,DDR4,3000,16,https://amazon.com/dp/B07X1VLB59?tag=pcbuilder00-20
22.99,Patriot Memory,Signature Premium,8,1,DDR4,2666,19,https://amazon.com/dp/B07Q2BQDJ1?tag=pcbuilder00-20
23,Kingston,KCP426NS6/4,4,1,DDR4,2666,19,https://amazon.com/dp/B07DRFVY7J?tag=pcbuilder00-20
23.22,Patriot Memory,PVE44G266C6GY,4,1,DDR4,2666,16,https://amazon.com/dp/B07K73FNQ8?tag=pcbuilder00-20
23.69,Crucial,8541594163,8,1,DDR3,1600,11,https://amazon.com/dp/B0795C85SW?tag=pcbuilder00-20
23.88,G.Skill,Ripjaws,4,1,DDR3,1600,9,https://amazon.com/dp/B002X578SM?tag=pcbuilder00-20
23.99,SP Silicon Power,SP016GBLFU320X02,16,1,DDR4,3200,22,https://amazon.com/dp/B09NDLPNS8?tag=pcbuilder00-20
24.21,SP Silicon Power,4.71344E+12,8,1,DDR4,2666,19,https://amazon.com/dp/B07F2N58L7?tag=pcbuilder00-20
24.38,Crucial,CT51264BA1339J,4,1,DDR3,1333,9,https://amazon.com/dp/B00F4ICE4S?tag=pcbuilder00-20
24.99,Crucial,CT8G56C46U5,8,1,DDR5,5600,46,https://amazon.com/dp/B0C79XLZZQ?tag=pcbuilder00-20
24.99,PNY,MD8GD4320016XRGB,8,1,DDR4,3200,16,https://amazon.com/dp/B08B9WZZ8J?tag=pcbuilder00-20
24.99,Patriot Memory,PVSR48G320C8,8,1,DDR4,3200,18,https://amazon.com/dp/B08N67XM6P?tag=pcbuilder00-20
24.99,Corsair,CMV4GX4M1A2133C15,4,1,DDR4,2133,15,https://amazon.com/dp/B00SV7IIOE?tag=pcbuilder00-20
24.99,Corsair,CMV4GX3M1A1600C11,4,1,DDR3,1600,11,https://amazon.com/dp/B009CILPRI?tag=pcbuilder00-20
25.87,Crucial,CT8G48C40U5,8,1,DDR5,4800,40,https://amazon.com/dp/B09HWFZZM4?tag=pcbuilder00-20
25.97,SP Silicon Power,SP016GBLFU320B22,16,2,DDR4,3200,22,https://amazon.com/dp/B0924LFB3Z?tag=pcbuilder00-20
26.25,Mushkin,Essentials,8,2,DDR3,1600,11,https://amazon.com/dp/B006HDPFZE?tag=pcbuilder00-20
26.48,Kingston,KVR32N22S6/4,4,1,DDR4,3200,22,https://amazon.com/dp/B07V2CDSY3?tag=pcbuilder00-20
