Title,Price,Brand,Model,Power,Efficiency,Link
XilencePower Netzteil ATX 750 Performance X Serie PLUG (80+ Gold),120.15,Xilence,Netzteil XN073,750 W,80+ Gold,https://amazon.com/dp/B074V1M2R6?tag=pcbuilder00-20
Thermaltake Toughpower Grand RGB 750W 80+ Gold MB 12V RGB Sync SLI/Crossfire Ready Smart Zero Fan Full Modular Power Supply,/A,Thermaltake,Toughpower Grand RGB,750 W,80+ Gold,https://amazon.com/dp/B07F6JH47Z?tag=pcbuilder00-20
SilverStone Technology 650 Watt Semi-Modular 80 Plus Gold Computer Power Supply,/A,SilverStone Technology,SST-ET650-HG,650 W,80+ Gold,https://amazon.com/dp/B078WCQPHH?tag=pcbuilder00-20
Rosewill VALENS-600 80 Plus Gold Certified ATX12V v2.31/EPS12V v2.92 Active-PFC Power Supply,140,Rosewill,VALENS-600,600 W,80+ Gold,https://amazon.com/dp/B00PGV4Q62?tag=pcbuilder00-20
Antec EarthWatts EA-500D Green 500 Watt 80 PLUS BRONZE Power Supply,108.11,Antec,EA-550 GREEN,500 W,80+ Bronze,https://amazon.com/dp/B002VLYKDO?tag=pcbuilder00-20
"Fractal Design Ion Gold 850W - Gold, ATX",156.89,Fractal Design,FD-P-IA2G-850,850 W,80+ Gold,https://amazon.com/dp/B08X249F7T?tag=pcbuilder00-20
"SilverStone Technology DA750 Gold, Decathlon 80 Plus Gold 750W Fully Modular ATX Power Supply",126,SilverStone Technology,SST-DA750-G,750 W,80+ Gold,https://amazon.com/dp/B091SJBDYC?tag=pcbuilder00-20
Corsair Gaming Series 700-Watt ATX/EPS Bronze ATX12V/EPS12V 696 Power Supply GS700,299.99,Corsair,CP-9020064-NA,700 W,80+ Bronze,https://amazon.com/dp/B00ALSNDS2?tag=pcbuilder00-20
"SilverStone Tek Essential, 80 Plus Gold Certified 650W Power Supply with Flat Black Cables and Quiet Fan Curve",119.99,SilverStone Technology,Essential,650 W,80+ Gold,https://amazon.com/dp/B0762PGTCH?tag=pcbuilder00-20
Alimentation ATX Xilence Performance A+ III - 550W,95.11,Xilence,XN083,550 W,80+ Bronze,https://amazon.com/dp/B082F2RYF5?tag=pcbuilder00-20
SilverStone Technology FX350 Flex ATX 1U 350 Watt 80 Plus Gold Power Supply with Fixed Cables,109.99,SilverStone Technology,FX350,350 W,80+ Gold,https://amazon.com/dp/B07CK72QK8?tag=pcbuilder00-20
"Xilence Alimentation ATX Xilence Performance X - 1250W, XN078",283,Xilence,XN078,1250 W,80+ Gold,https://amazon.com/dp/B07HBTCX9L?tag=pcbuilder00-20
FSP Group Twins ATX PS2 1+1 Dual Module 700W 80 PLUS GOLD Hot Swappable Redundant Digital Power Supply with Guardian Monitor Software,/A,FSP,Twins ATX PS2,700 W,80+ Gold,https://amazon.com/dp/B072WHHL7F?tag=pcbuilder00-20
"Fractal Design Ion Gold 650W - Gold, ATX",129.99,Fractal Design,FD-P-IA2G-650,650 W,80+ Gold,https://amazon.com/dp/B08X1LS7WG?tag=pcbuilder00-20
Silverstone Tek Strider Series ATX12V/EPS12V 550W 80+ Gold PFC Power Supply with Full Modular Cables,109.99,SilverStone Technology,ST55F-G,550 W,80+ Gold,https://amazon.com/dp/B009FU2A40?tag=pcbuilder00-20
"Cooler Master V550 Gold White Edition V2 Full Modular, 550W, 80+ Gold Efficiency, Semi-fanless Operation, 16AWG PCIe high-Efficiency Cables",83.77,Cooler Master,V550 V2,550 W,80+ Gold,https://amazon.com/dp/B08G38N88V?tag=pcbuilder00-20
"Fractal Design Ion Gold 550W - Gold, ATX",167,Fractal Design,Design Ion Gold,550 W,80+ Gold,https://amazon.com/dp/B08X25JG5X?tag=pcbuilder00-20
SilverStone Technology 500W Fixed Cable TFX Power Supply 80 Plus Gold TX500-G (SST-TX500-G),144.20,SilverStone Technology,SST-TX500-G,500 W,80+ Gold,https://amazon.com/dp/B08WT6WCCQ?tag=pcbuilder00-20
Antec EarthWatts EA-430D Green 430 Watt 80 PLUS BRONZE Power Supply,98.68 (Used),Antec,Earthwatts Green,430 W,80+ Bronze,https://amazon.com/dp/B002VLYJRG?tag=pcbuilder00-20
SFX 450W BeQuiet! SFX Power 3 |80+ Bronze,97.81,be quiet!,BN321,450 W,80+ Bronze,https://amazon.com/dp/B0937H4WJW?tag=pcbuilder00-20
"Cooler Master G500 Gold Power Supply, 500W 80+ Gold Efficiency, Intel ATX Version 2.52",89.99,Cooler Master,MPW-5001-ACAAG-US,500 W,80+ Gold,https://amazon.com/dp/B09JQ8QNLN?tag=pcbuilder00-20
"Cooler Master MWE 450 Bronze, 80+ Bronze Certified 450W Power Supply",/A,Cooler Master,MWE 450,450 W,80+ Bronze,https://amazon.com/dp/B074ZLW8DN?tag=pcbuilder00-20
Coolmax Power Supply ATX 700 Power Supply,61.63,Coolmax,ZX-700,700 W,80+,https://amazon.com/dp/B0075WFEAM?tag=pcbuilder00-20
"Cooler Master G600 Gold Power Supply, 600W 80+ Gold Efficiency, Intel ATX Version 2.52, Fixed Flat Black Cables Quiet HDB Fan, 5 Year Warranty",115.22,Cooler Master,MPW-6001-ACAAG-US,600 W,80+ Gold,https://amazon.com/dp/B09JPY84Y7?tag=pcbuilder00-20
SilverStone Technology Extreme 850R Platinum Cybenetics Platinum 850W SFX12V 4.0 (ATX 3.0),223.99,SilverStone Technology,SST-EX850R-PM,850 W,80+ Platinum,https://amazon.com/dp/B0BQCV927S?tag=pcbuilder00-20
"Corsair CX750M V2, 80+ Bronze Certified 750W Semi-Modular Active PFC Power Supply",109.99,Corsair,CX750M V2,750 W,80+ Bronze,https://amazon.com/dp/B078M6D5CJ?tag=pcbuilder00-20
SEASONIC ACCESSORY SS-300TFX 18 CABLE POWER SUPPLY 300W TFX12V V2.3 80OLUS ACTIV,62.92,Seasonic,SS-300TFX,300 W,80+ Bronze,https://amazon.com/dp/B004JUVNVC?tag=pcbuilder00-20
"DeepCool DA700 80 Plus Bronze Certified 700W Power Supply, ATX12V, 120mm PWM Silent Fan, 5 Year Warranty",70.99,DEEP COOL,DA700,700 W,80+ Bronze,https://amazon.com/dp/B077PQZHMD?tag=pcbuilder00-20
"DeepCool DA500 80 Plus Bronze Certified 500W Power Supply, ATX12V, 120mm PWM Silent Fan, 5 Year Warranty",66.69,DEEP COOL,DA500,500 W,80+ Bronze,https://amazon.com/dp/B071S667D4?tag=pcbuilder00-20
IN WIN P85 (P Series) 850 Watt Fully Modular Power Supply 80+ Gold Certified,177.67,IN WIN,P850W,850 W,80+ Gold,https://amazon.com/dp/B089QWV81T?tag=pcbuilder00-20
Seasonic PRIME-TX-1600 Prime Tx 1600 - Power Supply - 1600 Watt,529.99,Seasonic,PRIME-TX-1600,1600 W,80+ Titanium,https://amazon.com/dp/B09RTFBK1K?tag=pcbuilder00-20
Silverstone Tek 1500W 80 Plus Gold Certified Fully Modular Active PFC Power Supply with Support for 8X PCI-E 8/6pin Connectors,/A,SilverStone Technology,Tek 1500,1500 W,80+ Gold,https://amazon.com/dp/B00NOTV4AE?tag=pcbuilder00-20
Xilence XN074 Performance X 850W ATX 2.4 Modular Cases & Hardware PSUs,128.43,Xilence,XN074,850 W,80+ Gold,https://amazon.com/dp/B074V1R9HB?tag=pcbuilder00-20
"Pure Power 12 M 1000W, ATX 3.0, 80 Plus® Gold, Modular Power Supply, for PCIe 5.0 GPUs",164.90,be quiet!,BN506,1000 W,80+ Gold,https://amazon.com/dp/B0BVYCXQY4?tag=pcbuilder00-20
"Super Flower Leadex III Bronze PRO 850W 80+ Bronze, ECO Fanless & Silent Mode, Full Modular Power Supply, Fluid Dynamic Bearing Fan",139.99,SUPER FLOWER,Leadex III Super Pro,850 W,80+ Bronze,https://amazon.com/dp/B08H1CFWZX?tag=pcbuilder00-20
"EVGA Supernova 850 G2L, 80 Plus Gold 850W, Fully Modular, Eco Mode, 10 Year Warranty, Includes Power ON Self Tester, White LED, Power Supply 220-GL-0850-X1",350,EVGA,220-GL-0850-X1,850 W,80+ Gold,https://amazon.com/dp/B01LXH982W?tag=pcbuilder00-20
Fractal Design Ion+ 2 Platinum 760W 80 Plus Platinum Certified 760W Full Modular Compact ATX Power Supply,247,Fractal Design,FD-P-IA2P-760-UK,760 W,80+ Platinum,https://amazon.com/dp/B094D36XMH?tag=pcbuilder00-20
"Pure Power 12 M 650W, ATX 3.0, 80 Plus® Gold, Modular Power Supply, for PCIe 5.0 GPUs",104.90,be quiet!,BN503,650 W,80+ Gold,https://amazon.com/dp/B0BVYGNLM7?tag=pcbuilder00-20
"Pure Power 12 M 550W, ATX 3.0, 80 Plus® Gold, Modular Power Supply, for PCIe 5.0 GPUs",94.90,be quiet!,BN502,550 W,80+ Gold,https://amazon.com/dp/B0BVXTHGGN?tag=pcbuilder00-20
Coolmax 240-Pin 900W Power Supply with Active PFC,/A,Coolmax,ZU-900B,900 W,80+ Bronze,https://amazon.com/dp/B0075W8DH8?tag=pcbuilder00-20
Corsair Gaming Series 800-Watt 80 Plus Certified Power Supply Compatible with Intel and AMD Platforms - CMPSU-800G,399.99,Corsair,CMPSU-800G,800 W,80+,https://amazon.com/dp/B004H1XXGQ?tag=pcbuilder00-20
"Rosewill CFZ750 750W ATX Semi Modular Gaming Power Supply | 80 Plus Bronze Certified, Single +12V Rail | Continuous Power | Intel 4th Gen CPU Read, SLI & Crossfire Ready",79.99,Rosewill,CFZ750,750 W,80+ Bronze,https://amazon.com/dp/B08RQZTZG5?tag=pcbuilder00-20
NOX - Power Supply NOX NXHM650BZ ATX 650W 80 Plus Bronze Active PFC,167,NOX,Hummer 650,650 W,80+ Bronze,https://amazon.com/dp/B00LALXQDG?tag=pcbuilder00-20
"Rosewill CFZ600 600W ATX Semi Modular Gaming Power Supply | 80 Plus Bronze Certified, Single +12V Rail | Continuous Power | Intel 4th Gen CPU Read, SLI & Crossfire Ready",62.99,Rosewill,CFZ600,600 W,80+ Bronze,https://amazon.com/dp/B08RSBVZMZ?tag=pcbuilder00-20
"Rosewill CFZ500 500W ATX Semi Modular Gaming Power Supply | 80 Plus Bronze Certified, Single +12V Rail | Intel 4th Gen CPU Read, SLI & Crossfire Ready",49.99,Rosewill,CFZ500,500 W,80+ Bronze,https://amazon.com/dp/B08RQJQTDJ?tag=pcbuilder00-20
Sparkle FSP FSP300-60ATV 300W ATX Power Supply,59.99,Sparkle,FSP300-60ATV,300 W,80+,https://amazon.com/dp/B0045788AI?tag=pcbuilder00-20
SilverStone Technology HELA 850R Platinum Cybenetics Platinum 850W PCIe 5.0 Fully Modular ATX 3.0 Power Supply,218.31,SilverStone Technology,SST-AX0850MCPT-A,850 W,80+ Platinum,https://amazon.com/dp/B0BDCKFCW4?tag=pcbuilder00-20
SPI ATX-350PN-B204 350W ATX V2.2 20+4PIN 12CM BB Fan 1xSATA C2D Rohs Power Supply,47.99,Sparkle,ATX-350PN-B204,350 W,80+,https://amazon.com/dp/B0015TXJM6?tag=pcbuilder00-20
"Antec HCG850 Extreme Power Supply 850 Watts 80 Plus Gold PSU with 135mm Silent FDB Fan, Full Modular, Japanese Capacitors",161.99,Antec,HCG850 Extreme,850 W,80+ Gold,https://amazon.com/dp/B07G7GPPCZ?tag=pcbuilder00-20
