Title,Price,Brand,Model,Power,Efficiency,Link
Fractal Design Anode Bronze 650 W,143.09,Fractal Design,FD-P-AA1B-650-UK,650 W,80+ Bronze,https://amazon.com/dp/B09NMBGN3C?tag=pcbuilder00-20
Sparkle Green 600W 80Plus Active PFC Power Supply,/A,Sparkle,Green 600,600 W,80+,https://amazon.com/dp/B003DTV5KO?tag=pcbuilder00-20
Fractal Design Anode Bronze 550 W,122.21,Fractal Design,FD-P-AA1B-550-EU,550 W,80+ Bronze,https://amazon.com/dp/B09NMBV2FV?tag=pcbuilder00-20
Athena Computer Power 500W Flex ATX Power Supply,167.09,Athena,MF 50P,500 W,80+ Silver,https://amazon.com/dp/B073JXM2K2?tag=pcbuilder00-20
Seasonic SSP-300TBS 300W 80 PLUS Bronze TFX 12 V v.2.31 Power Supply w/ Active,67.61,Seasonic,SSP-300TBS,300 W,80+ Bronze,https://amazon.com/dp/B06XW8HK71?tag=pcbuilder00-20
"SilverStone Technology HELA 2050 Platinum, Cybenetics Platinum 2050W Fully Modular ATX Power Supply",671,SilverStone Technology,SST-HA2050-PT,2050 W,80+ Platinum,https://amazon.com/dp/B09NVR44C1?tag=pcbuilder00-20
Seasonic PRIME-PX-1600 Power Supply - 1600 Watt,532,Seasonic,PRIME-PX-1600,1600 W,80+ Platinum,https://amazon.com/dp/B09RTF7NWB?tag=pcbuilder00-20
"AeroCool XPredator GM, 80+ Gold Certified 1000W Direct DC to DC ATX Power Supply",/A,AeroCool,XPredator GM,1000 W,80+ Gold,https://amazon.com/dp/B01ER4AK7W?tag=pcbuilder00-20
"Antec HCG 1000W Gold PSU, 80+, Full Modular, Continuous, PHASEWAVE",254.72,Antec,0-761345-11774-6,1000 W,80+ Gold,https://amazon.com/dp/B09HCVR1G5?tag=pcbuilder00-20
Corsair CX850M V2 (2017 Edition) 850W 80 Plus Bronze Certified Semi-Modular Active PFC Power Supply,249.99 (Used),Corsair,CX850M,850 W,80+ Bronze,https://amazon.com/dp/B078MB5R7H?tag=pcbuilder00-20
Sea Sonic SS-850HT ATX12 & EPS12V Power Supply,169,Sea Sonic,SS-850HT,850 W,80+ Silver,https://amazon.com/dp/B003HE7K36?tag=pcbuilder00-20
Thermaltake Smart Series 730W 80PLUS Certified Continuous Power ATX12V V2.3 Active PFC ATX 730 Power Supply,/A,Thermaltake,SP-730P,730 W,80+,https://amazon.com/dp/B0079QOVCQ?tag=pcbuilder00-20
SilverStone Technology 700W Fixed Cable TFX Power Supply 80 Plus Gold TX700-G (SST-TX700-G),180.99,SilverStone Technology,SST-TX700-G,700 W,80+ Gold,https://amazon.com/dp/B08WTHF622?tag=pcbuilder00-20
In Win IW-PS-P650W Power Supply,121.72,IN WIN,IW-PS-P650W,650 W,80+ Gold,https://amazon.com/dp/B08LL6D766?tag=pcbuilder00-20
Seasonic Power Supply SS-600ET 600W ATX12V (v2.2) 12cm 80PLUS BRONZE,128.04,Seasonic,SS-600ET,600 W,80+ Bronze,https://amazon.com/dp/B0065SHN8S?tag=pcbuilder00-20
"Super Flower Leadex III Bronze PRO 550W 80+ Bronze, ECO Fanless & Silent Mode, Full Modular Power Supply, Fluid Dynamic Bearing Fan",89.99,Super Flower,Leadex III,550 W,80+ Bronze,https://amazon.com/dp/B08H1BWR87?tag=pcbuilder00-20
IN-WIN Development 300W PSU for Bn Series,/A,IN-WIN Development Inc,IP-P300BN7-2,300 W,80+,https://amazon.com/dp/B002JTJFY2?tag=pcbuilder00-20
Sparkle Power Inc. SPI ATX-300PA-B204 300W ATX V2.2 20+4PIN 8CM Ball-bearing FAN 1SATA,189.99,Sparkle,ATX-300PA-B204,300 W,80+,https://amazon.com/dp/B001E8FD4K?tag=pcbuilder00-20
Apex AL-8250SFX 250W SFX12V Power Supply - CK7910,78.05,APEX LEGENDS,AL-8250SFX,250 W,80+,https://amazon.com/dp/B004O9U9M2?tag=pcbuilder00-20
In Win IP-S200FF1-0 ATX12V Power Supply 200 W,63,IN-WIN Development,IP-S200DF1-0,200 W,,https://amazon.com/dp/B003VMY712?tag=pcbuilder00-20
"ROG Thor 1600W Titanium (1600 Watt, Fully Modular Power Supply, 80+ Titanium",723.09,ASUS,ROG THOR 1600T Gaming,1600 W,80+ Titanium,https://amazon.com/dp/B0BWH7LDN5?tag=pcbuilder00-20
Cougar Platinum Efficiency Polar 1200 Fully Modular Power Supply with Japanese capacitors,249.90,COUGAR,31PL120001P01,1200 W,80+ Platinum,https://amazon.com/dp/B0B3DGC4ZT?tag=pcbuilder00-20
"ASUS TUF Gaming 1000W Gold (1000 Watt, ATX 3.0 Compatible Fully Modular Power Supply",171.36,ASUS,TUF-GAMING-1000G,1000 W,80+ Gold,https://amazon.com/dp/B0BZWZYTWJ?tag=pcbuilder00-20
be quiet! System Power 10 850W ATX24 BN330,146.99,be quiet!,BN330,850 W,80+ Gold,https://amazon.com/dp/B0BJVKQVCF?tag=pcbuilder00-20
ASUS PSU TUF Gaming 850W Gold,279,ASUS,TUF Gaming 850G,850 W,80+ Gold,https://amazon.com/dp/B0BK541686?tag=pcbuilder00-20
"Cooler Master V850 Gold i ATX3.0 Fully Modular, 850W, 80+ Gold, Semi-Digital, 135mm Silent Fan",184.99,Cooler Master,MPZ-8501-AFAG-BUS,850 W,80+ Gold,https://amazon.com/dp/B0BXFQ6XPB?tag=pcbuilder00-20
"EVGA 800 GE, 80 Plus Gold 800W, Eco Mode, 5 Year Warranty, Power Supply 200-GE-0800-V1",99.42,EVGA,200-GE-0800-V1,800 W,80+ Gold,https://amazon.com/dp/B0C1ZXDZF2?tag=pcbuilder00-20
be quiet! System Power 10 750W ATX24 BN329,109.99,be quiet!,BN329,750 W,80+ Bronze,https://amazon.com/dp/B0BJVPWRXY?tag=pcbuilder00-20
Fractal Design Anode Bronze 750 W,153.98,Fractal Design,FD-P-AA1B-750-UK,750 W,80+ Bronze,https://amazon.com/dp/B09NMG5G9M?tag=pcbuilder00-20
SeaSonic USA PSU SEASONIC 750W Focus SPX-750 R,216.36,SeaSonic USA,FOCUS-SPX-750-2021,750 W,80+ Platinum,https://amazon.com/dp/B09LTDRY2L?tag=pcbuilder00-20
DeepCool PM750D 80+ Gold Power Supply,84.32,DeepCool,R-PM750D-FA0B-US,750 W,80+ Gold,https://amazon.com/dp/B09Y5M2422?tag=pcbuilder00-20
"Title: Cooler Master V750 Gold i ATX3.0 Fully Modular, 750W, 80+ Gold, Semi-Digital, 135mm Silent Fan",179.99,Cooler Master,MPZ-7501-AFAG-BUS,750 W,80+ Gold,https://amazon.com/dp/B0BXFPF2G6?tag=pcbuilder00-20
"EVGA 700 GE, 80 Plus Gold 700W, Eco Mode, 5 Year Warranty, Power Supply 200-GE-0700-V1",89.99,EVGA,200-GE-0700-V1,700 W,80+ Gold,https://amazon.com/dp/B0C1ZX7P1W?tag=pcbuilder00-20
be quiet! System Power 10 650W ATX24 BN328,103.66,be quiet!,BN328,650 W,80+ Bronze,https://amazon.com/dp/B0BJVL2PWD?tag=pcbuilder00-20
"Phanteks (PH-P650GSF) Revolt SFX 650W 80PLUS Gold, SFX Power Supply, Fully Modular",109.99,PHANTEKS THERMAL SOLUTIONS,PH-P650GSF_US01,650 W,80+ Gold,https://amazon.com/dp/B09ZGNZTTX?tag=pcbuilder00-20
COUGAR GEX a 80Plus Gold Certified PSU (GEX650),119.90,COUGAR,GEX650,650 W,80+ Gold,https://amazon.com/dp/B08H8BGMQP?tag=pcbuilder00-20
Athena Computer Power AP-MP4ATX60FEP8 600W Apollo Series SFX Power Supply,161.45,Athena,Apollo 600 Plus,600 W,80+ Bronze,https://amazon.com/dp/B073JXZSCM?tag=pcbuilder00-20
"EVGA 600 GE, 80 Plus Gold 600W, Eco Mode, 5 Year Warranty, Power Supply 200-GE-0600-V1",79.15,EVGA,200-GE-0600-V1,600 W,80+ Gold,https://amazon.com/dp/B0C1ZX644C?tag=pcbuilder00-20
Silver Stone Technologies ST55F-PT Silent 120 mm Fan with 18Dba44; Efficiency 80Plus Platinum Certification44; Modular Cable,149.59,Silver Stone Technologies,ST55F,550 W,80+ Platinum,https://amazon.com/dp/B076QFZ2TQ?tag=pcbuilder00-20
be quiet! System Power 10 550W ATX24 BN327,91.39,be quiet!,BN327,550 W,80+ Bronze,https://amazon.com/dp/B0BJVMJ887?tag=pcbuilder00-20
"EVGA 500 GE, 80 Plus Gold 500W, Eco Mode, 5 Year Warranty, Power Supply 200-GE-0500-V1",68.75,EVGA,200-GE-0500-V1,500 W,80+ Gold,https://amazon.com/dp/B0C1ZXGT67?tag=pcbuilder00-20
StarTech.com Professional 500 Watt ATX 12V 2.01 Computer Power Supply with PCIe,167.75,StarTech,ATX2PW500PRO,500 W,80+,https://amazon.com/dp/B000FAPLEA?tag=pcbuilder00-20
be quiet! System Power 10 450W ATX24 BN326,126.45,be quiet!,BN326,450 W,80+ Bronze,https://amazon.com/dp/B0BJVKGCDP?tag=pcbuilder00-20
Fractal Design Anode SFX Bronze 80+ Certified Quiet 450W Power Supply,117.49,Fractal Design,FD-P-AS2B-450-EU,450 W,80+ Bronze,https://amazon.com/dp/B0948YMX3W?tag=pcbuilder00-20
Seasonic 300W 80 Plus Bronze ATX12V v2.3 Power Supply W Active PFC,/A,Seasonic,SSP-300ST,300 W,80+ Bronze,https://amazon.com/dp/B00X09AYTK?tag=pcbuilder00-20
Seasonic SSP-300SFG 300W 80 Plus Gold SFX 12 V v. 2.31 Power Supply w/Active PFC,168.68 (Used),Seasonic,SSP-300SFG,300 W,80+ Gold,https://amazon.com/dp/B0164FA2LQ?tag=pcbuilder00-20
Seasonic SS-300ES 300W 80 Plus Bronze Power Supply,104.44,Seasonic,SS-300ES Bronze,300 W,80+ Bronze,https://amazon.com/dp/B00512IXNI?tag=pcbuilder00-20
