Title,Price,Brand,Model,Cores,Threads,Socket Type,Base Speed,Turbo Speed,Integrated Graphics,Memory Type,Link
"Intel Core i7-13700KF Desktop Processor 16 cores (8 P-cores + 8 E-cores) 30M Cache, up to 5.4 GHz",397.99,Intel,Core i7-13700KF,16,24,LGA 1700,3.4 GHz,5.4 GHz,,,https://amazon.com/dp/B0BCDL7F5W?tag=pcbuilder00-20
Intel Core i9 (12th Gen) i9-12900F Hexadeca-core (16 Core) 2.40 GHz Processor,523.99,Intel,Core i9-12900F,16,24,LGA 1700,2.4 GHz,5.1 GHz,,,https://amazon.com/dp/B09RPNW7CM?tag=pcbuilder00-20
Intel Core i9-12900KF Desktop Processor 16 (8P+8E) Cores up to 5.2 GHz Unlocked  LGA1700 600 Series Chipset 125W,429.99,Intel,Core i9-12900KF,16,24,LGA 1700,3.2 GHz,5.2 GHz,,,https://amazon.com/dp/B09FWYK5M9?tag=pcbuilder00-20
"AMD Ryzen??7 7700X 8-Core, 16-Thread Unlocked Desktop Processor",348.99,AMD,Ryzen 7 7700X,8,16,AM5,4.5 GHz,5.4 GHz,,,https://amazon.com/dp/B0BBHHT8LY?tag=pcbuilder00-20
Intel Core i9 (12th Gen) i9-12900 Hexadeca-core (16 Core) 2.40 GHz Processor,543.93,Intel,Core i9-12900,16,24,LGA 1700,2.4 GHz,5.1 GHz,,,https://amazon.com/dp/B09RPF28CG?tag=pcbuilder00-20
"AMD Ryzen 7 7800X3D, 8 Cores & 16 Threads Unlocked Desktop Processor without CPU Cooler",363,AMD,AMD Ryzen 7 7800X3D,8,16,AM5,4.2 GHz,5 GHz,,,https://amazon.com/dp/B0BTZB7F88?tag=pcbuilder00-20
"Intel® Core??i5-14600KF, 14 Cores (6 P-cores + 8 E-cores) Unlocked Desktop Processor for Gaming",304,Intel,Core i5-14600KF,14,20,LGA 1700,3.5 GHz,5.3 GHz,,,https://amazon.com/dp/B0CGJ4MLC8?tag=pcbuilder00-20
"Intel® Core??i5-14600K, 14 Cores & 20 Threads Unlocked Desktop Gaming Processor with Integrated Graphics",329,Intel,Core i5-14600K,14,20,LGA 1700,3.5 GHz,5.3 GHz,,,https://amazon.com/dp/B0CGJ9STNF?tag=pcbuilder00-20
"Intel Core i9-10980XE, 18 Cores & 16 Threads Turbo Unlocked X-Series Desktop Processor","1,010",Intel,Core i9-10980XE,18,36,LGA 2066,3.0 GHz,4.8 GHz,,,https://amazon.com/dp/B08DG2HRJN?tag=pcbuilder00-20
"AMD Ryzen 9 3900XT, 12 Cores & 24 Threads Unlocked Desktop Processor Without Cooler",755,AMD,Ryzen 9 3900XT,12,24,AM4,3.8 GHz,4.7 GHz,,,https://amazon.com/dp/B089WD454D?tag=pcbuilder00-20
"Intel Core i7-12700F Unlocked Desktop Processor with LGA 1700, 12 Cores & 20 Threads, and 25MB L3 Cache Memory",299,Intel,Core i7-12700F,12,20,LGA 1700,2.1 GHz,4.9 GHz,,,https://amazon.com/dp/B09NPJDPVG?tag=pcbuilder00-20
"Intel Core i9-9980XE, 18 Cores & 36 Threads Turbo Unlocked Extreme Edition Processor","1,445",Intel,Core i9-9980XE,18,36,LGA 2066,3.0 GHz,4.5 GHz,,,https://amazon.com/dp/B07JGCMQY8?tag=pcbuilder00-20
Intel Core i7 (12th Gen) i7-12700 Dodeca-core (12 Core) 2.10 GHz Processor,328.19,Intel,Core i7-12700,12,20,LGA 1700,2.1 GHz,4.9 GHz,,,https://amazon.com/dp/B09NPHHSZ1?tag=pcbuilder00-20
"AMD Ryzen Threadripper 2990WX Processor 32-Core, 64-Thread Unlocked Desktop Processor, without Cooler","2,500",AMD,Ryzen Threadripper 2990WX,32,64,sTR4,3.0 GHz,4.2 GHz,,,https://amazon.com/dp/B07G25SD1P?tag=pcbuilder00-20
"Intel Core i9-9960X, 16 Cores & 32 Threads Turbo Unlocked X-Series Processor","1,600",Intel,Core i9-9960X,16,32,LGA 2066,3.1 GHz,4.5 GHz,,,https://amazon.com/dp/B07JDV1QDG?tag=pcbuilder00-20
Intel Core i7-12700KF Desktop Processor 12 (8P+4E) Cores up to 5.0 GHz Unlocked  LGA1700 600 Series Chipset 125W,299.99,Intel,Core i7-12700KF,12,20,LGA 1700,3.6 GHz,5.0 GHz,,,https://amazon.com/dp/B09FXKHN7M?tag=pcbuilder00-20
Intel Core i7-12700K Desktop Processor 12 (8P+4E) Cores up to 5.0 GHz Unlocked  LGA1700 600 Series Chipset 125W,339.99,Intel,Core i7-12700K,12,20,LGA 1700,3.6 GHz,5.0 GHz,,,https://amazon.com/dp/B09FXNVDBJ?tag=pcbuilder00-20
"AMD Ryzen Threadripper 2950X Processor 16 Cores & 32 Processing Threads, with Cooler",761.69,AMD,Ryzen Threadripper 2950X,16,32,sTR4,3.5 GHz,4.4 GHz,,,https://amazon.com/dp/B07GFN6CVF?tag=pcbuilder00-20
Intel Core i9-7980XE Extreme Edition Processors with 18 Cores & 32 Threads,"1,200",Intel,Core i9-7980XE,18,36,LGA 2066,2.6 GHz,4.2 GHz,,,https://amazon.com/dp/B075XRYMDR?tag=pcbuilder00-20
"Intel Core i9-10940X, 14 Cores & 28 Threads Unlocked X-Series Desktop Processor",883,Intel,Core i9-10940X,14,28,LGA 2066,3.3 GHz,4.8 GHz,,,https://amazon.com/dp/B07YP67PFV?tag=pcbuilder00-20
"AMD Ryzen??5 7600X 6-Core, 12-Thread Unlocked Desktop Processor",248.99,AMD,Ryzen 5 7600X,6,12,AM5,4.7 GHz,5.3 GHz,,,https://amazon.com/dp/B0BBJDS62N?tag=pcbuilder00-20
"Intel Core i9-9940X, 14 Cores & 28 Threads Turbo Unlocked X-Series Processor",970,Intel,Core i9-9940X,14,28,LGA 2066,3.3 GHz,4.5 GHz,,,https://amazon.com/dp/B07JFH771Y?tag=pcbuilder00-20
"AMD Ryzen??5 7600, 6 Cores & 12 Threads Unlocked Desktop Processor With Wraith Stealth Cooler",226.99,AMD,AMD Ryzen 5 7600,6,12,AM5,3.8 GHz,5.1 GHz,,,https://amazon.com/dp/B0BMQJWBDM?tag=pcbuilder00-20
"Intel Core i9-7960X, 16 Cores & 32 Threads Turbo Unlocked X-Series Desktop Processor",760,Intel,Core i9-7960X,16,32,LGA 2066,2.8 GHz,4.2 GHz,,,https://amazon.com/dp/B075XRYMDS?tag=pcbuilder00-20
"AMD Ryzen Threadripper 1950X (16-core/32-thread) Desktop Processor, without Cooler",914.1,AMD,Ryzen Threadripper 1950X,16,32,sTR4,3.4 GHz,4.0 GHz,,,https://amazon.com/dp/B074CBH3R4?tag=pcbuilder00-20
"AMD Ryzen??7 5700X, 8 Cores & 16 Threads Unlocked Desktop Processor Without CPU Cooler",169.99,AMD,AMD Ryzen 7 5700X,8,16,AM4,3.4 GHz,4.6 GHz,,,https://amazon.com/dp/B09VCHQHZ6?tag=pcbuilder00-20
"Intel Core i9-7940X, 14 Cores & 28 Threads Turbo Unlocked X-Series Desktop Processor",620,Intel,Core i9-7940X,14,28,LGA 2066,3.1 GHz,4.3 GHz,,,https://amazon.com/dp/B076KXLR6K?tag=pcbuilder00-20
"AMD Ryzen Threadripper 2970WX 24 Core, 48 Thread Processor, Unlocked, without Cooler","1,129.99",AMD,Ryzen Threadripper 2970WX,24,48,sTR4,3.0 GHz,4.2 GHz,,,https://amazon.com/dp/B07JBQJ1D9?tag=pcbuilder00-20
"Intel Core i9-10920X, 12 Cores & 24 Threads Turbo Unlocked Desktop Processor without Processor Graphics",779.83,Intel,Core i9-10920X,12,24,LGA 2066,3.5 GHz,4.8 GHz,,,https://amazon.com/dp/B07YP6Y9VY?tag=pcbuilder00-20
Intel Core i9-11900K Desktop Processor 8 Cores up to 5.3 GHz Unlocked LGA1200 (Intel 500 Series & Select 400 Series Chipset) 125W,349.99,Intel,Core i9-11900K,8,16,LGA 1200,3.5 GHz,5.3 GHz,,,https://amazon.com/dp/B08X6PPTTH?tag=pcbuilder00-20
"Intel Core i9-9920X, 12 Cores & 24 Threads Turbo Unlocked X-Series Processor",649,Intel,Core i9-9920X,12,24,LGA 2066,3.5 GHz,4.5 GHz,,,https://amazon.com/dp/B07JGCV5KN?tag=pcbuilder00-20
