Title,Price,Brand,Model,chipset,Form factor,Socket type,Memory slots,max_memory_support,Link
"MSI PRO B760-P WiFi DDR4 ProSeries Motherboard (2.5Gbps LAN, USB 3.2 Gen2, Wi-Fi 6E, ATX)",169.99,MSI,PROB760PWIFID4,Intel B760,ATX,LGA 1700,,,https://amazon.com/dp/B0BRQSWSFQ?tag=pcbuilder00-20
"ASUS ProArt B760-CREATOR D4 Intel LGA 1700 ATX Content Creator Motherboard (Front USB 3.2 Gen 2x2 Type-C, Thunderbolt (USB4®) Header)",229.99,ASUS,PROART B760-CREATOR D4,Intel B760,ATX,LGA 1700,,,https://amazon.com/dp/B0BR8S21CS?tag=pcbuilder00-20
Biostar Motherboard AMD 760G Micro ATX DDR3 1600 AM3 Motherboards,199.99,Biostar,A780L3B,AMD 760G,Micro ATX,AM3,,,https://amazon.com/dp/B006DY3ACM?tag=pcbuilder00-20
"ASUS TUF GAMING B760M-PLUS WIFI D4 Intel LGA 1700 mATX motherboard, USB 3.2 Gen 2x2 Type-C, front USB 3.2 Type-C, Thunderbolt (USB4®)",189.99,ASUS,TUF GAMING B760M-PLUS WIFI D4,Intel B760,Micro ATX,LGA 1700,,,https://amazon.com/dp/B0BR8TRLRB?tag=pcbuilder00-20
"ASUS ROG Strix B760-A Gaming WiFi D4 Intel B760 LGA1700 white ATXmotherboard, WiFi 6E, USB 3.2 Gen 2x2 Type-C®, and Aura Sync RGB",239.99,ASUS,ROG STRIX B760-A GAMING WIFI D4,Intel B760,ATX,LGA 1700,,,https://amazon.com/dp/B0BR8VBFM2?tag=pcbuilder00-20
"ASUS Prime B760-PLUS D4 Intel LGA 1700 ATX motherboard 2.5Gb LAN, DisplayPort, USB 3.2 Gen 2x2 Type-C, front USB 3.2 Gen 1 Type-C, Thunderbolt (USB4®)",159.99,ASUS,PRIME B760-PLUS D4,Intel B760,ATX,LGA 1700,,,https://amazon.com/dp/B0BR8TRM93?tag=pcbuilder00-20
ECS Elitegroup AM3 AMD 760G Micro ATX AMD DDR3 1800 Motherboard,128.68 (Used),ECS Elitegroup,A780LM-M2,AMD 760G,Micro ATX,AM3,,,https://amazon.com/dp/B007THAKV6?tag=pcbuilder00-20
"ASRock B760 Pro RS/D4 Motherboard, CPU (LGA1700), B760 Chipset, DDR4 ATX Motherboard",198.42,ASRock,B760 PRO RS/D4,Intel B760,ATX,LGA 1700,,,https://amazon.com/dp/B0BQWRCYNX?tag=pcbuilder00-20
"ASUS TUF Gaming B760-PLUS WiFi D4 Intel LGA 1700 ATX Motherboard, USB 3.2 Gen 2x2 Type-C, Front USB 3.2 Gen 2 Type-C®, Thunderbolt (USB4®)",209.99,ASUS,TUF GAMING B760-PLUS WIFI D4,Intel B760,ATX,LGA 1700,,,https://amazon.com/dp/B0BR8TN1H4?tag=pcbuilder00-20
"ASUS Prime B760M-A D4 Intel® B760 mATX Motherboard (DisplayPort, Dual HDMI, Rear USB 3.2 Gen 2, Front USB 3.2 Gen 1 Type-C®, Aura Sync)",149.99,ASUS,PRIME B760M-A D4,Intel B760,Micro ATX,LGA 1700,,,https://amazon.com/dp/B0BR8S9KTT?tag=pcbuilder00-20
