Title,Price,Brand,Model,Capacity:,Type:,RPM,Interface,Cache Memory,Form Factor,Link
Hitachi HDS721050CLA362 Hitachi 3.5 500GB 7200RPM SATA min 20,137.50,Hitachi,0F10381,500 GB,HDD,7200 RPM,SATA 3 Gb/s,16 MB,"3.5""",https://amazon.com/dp/B002WO2APA?tag=pcbuilder00-20
Intel 320 Series 600 GB SATA 3.0 Gb-s 2.5-Inch Solid-State Drive,563.99,Intel,SSDSA2CW600G3K5,600 GB,SSD,,SATA 3 Gb/s,,"2.5""",https://amazon.com/dp/B004T0DNII?tag=pcbuilder00-20
"Seagate Skyhawk ST6000VX001 6TB 3.5"" Internal Hard Drive - SATA",133,Seagate,ST6000VX001,6 TB,HDD,5400 RPM,SATA 6 Gb/s,256 MB,"3.5""",https://amazon.com/dp/B079HCMBFT?tag=pcbuilder00-20
(Old Model) Seagate 6TB Desktop HDD SATA 6Gb/s NCQ 128MB Cache 7200RPM 3.5-Inch Internal Bare Drive,226.10,Seagate,ST6000DM001,6 TB,HDD,7200 RPM,SATA 6 Gb/s,128 MB,"3.5""",https://amazon.com/dp/B013JPKYQC?tag=pcbuilder00-20
"WD VelociRaptor 500 GB Workstation Hard Drive: 3.5 Inch, 10000 RPM, SATA III, 64 MB Cache",91.95,Western Digital,WD5000HHTZ,500 GB,HDD,10000 RPM,SATA 6 Gb/s,64 MB,"3.5""",https://amazon.com/dp/B007VPGK42?tag=pcbuilder00-20
Seagate SV35 2TB 7200RPM SATA 6-Gb/s NCQ 64MB Cache 3.5-Inch Internal Bare Drive for Video Surveillance,47.99 (Used),Seagate,ST2000VX000,2 TB,HDD,7200 RPM,SATA 6 Gb/s,64 MB,"3.5""",https://amazon.com/dp/B007JUFKM2?tag=pcbuilder00-20
Transcend 1TB NVMe PCIe Gen3X4 80mm M.2 Solid State Drive,71.81,Transcend,TS1TMTE110S,1 TB,SSD,,M.2 (M),,M.2-2280,https://amazon.com/dp/B07LBG5C4S?tag=pcbuilder00-20
Crucial MX300 1TB 3D NAND SATA M.2 (2280) Internal SSD,/A,Crucial,CT1050MX300SSD4,1 TB,SSD,,M.2 (B+M),,M.2-2280,https://amazon.com/dp/B01L80DH1Y?tag=pcbuilder00-20
Adata Ultimate Su800 512G M.2 2280 Sata,/A,ADATA,ASU800NS38-512GT-C,512 GB,SSD,,M.2 (B+M),,M.2-2280,https://amazon.com/dp/B01NCNQ12Q?tag=pcbuilder00-20
Crucial BX300 480GB 3D NAND SATA 2.5 Inch Internal SSD,239.99,Crucial,CT480BX300SSD1,480 GB,SSD,,SATA 6 Gb/s,,"2.5""",https://amazon.com/dp/B073W4N5KB?tag=pcbuilder00-20
Western Digital Caviar Green WD5000AACS 500GB 5400 to 7200 RPM 16 MB Cache SATA 3.0 Gb/s Hard Drive,49.16,Western Digital,WD5000AACS,500 GB,HDD,5400 RPM,SATA 3 Gb/s,16 MB,"3.5""",https://amazon.com/dp/B00165RLL4?tag=pcbuilder00-20
Seagate Momentus 5400 250GB 5400RPM SATA 3Gb/s 8MB Cache 2.5 Inch Internal NB Hard Drive ST9250315AS-Bare Drive (Amazon Frustration-Free Packaging),23.29,Seagate,ST9250315AS,250 GB,HDD,5400 RPM,SATA 3 Gb/s,8 MB,"2.5""",https://amazon.com/dp/B002BWPWXK?tag=pcbuilder00-20
4TB Network NAS HDD SATA,72.95,Western Digital,WDBMMA0040HNC-ERSN,4 TB,HDD,5400 RPM,SATA 6 Gb/s,64 MB,"3.5""",https://amazon.com/dp/B00L1FLSKE?tag=pcbuilder00-20
Seagate 1TB Enterprise Capacity HDD SATA 6Gb/s 128MB Cache 3.5-Inch Internal Bare Drive,33,Seagate,ST1000NM0033,1 TB,HDD,7200 RPM,SATA 6 Gb/s,128 MB,"3.5""",https://amazon.com/dp/B00A47FPL8?tag=pcbuilder00-20
"Intenso 120GB 2.5"" Sata III MLC flash high performance SSD",20.37,Intenso,3813430.0,120 GB,SSD,,SATA 6 Gb/s,,"2.5""",https://amazon.com/dp/B01D3ACJPW?tag=pcbuilder00-20
"Seagate Skyhawk AI ST10000VE0008 10 TB Hard Drive - 3.5"" Internal - SATA (SATA/600)",229.98,Seagate,ST10000VE0008,10 TB,HDD,7200 RPM,SATA 6 Gb/s,256 MB,"3.5""",https://amazon.com/dp/B07VBZYV1C?tag=pcbuilder00-20
Centon MP Essential 960 GB SSD SATA III 2.5 Solid State Drive,64.99,Centon,S1-S3A-960G,960 GB,SSD,,SATA 6 Gb/s,,"2.5""",https://amazon.com/dp/B084RHYLG8?tag=pcbuilder00-20
Seagate 16TB 7200RPM HDD,417.34,Seagate,ST16000NM004G,16 TB,HDD,7200 RPM,SAS 12 Gb/s,256 MB,"3.5""",https://amazon.com/dp/B07T3VPKXK?tag=pcbuilder00-20
Intel DC S3500 Series Solid State Drive - Internal,255.35,Intel,SSDSC2BB800G401,800 GB,SSD,,SATA 6 Gb/s,,"2.5""",https://amazon.com/dp/B00DT89YHA?tag=pcbuilder00-20
"HyperX Fury RGB SSD 240GB Mounting Bundle Kit SATA 3 2.5"" Solid State Drive Black Case with Multi-Color RGB SHFR200B/240G",/A,HyperX,SHFR200B/240G,240 GB,SSD,,SATA 6 Gb/s,,"2.5""",https://amazon.com/dp/B07H7BNLVX?tag=pcbuilder00-20
Kingston HyperX 3K 240 GB SATA III 2.5-Inch 6.0 Gb/s Solid State Drive,69.99 (Used),Kingston,SH103S3/240G,240 GB,SSD,,SATA 6 Gb/s,,"2.5""",https://amazon.com/dp/B007R67FTY?tag=pcbuilder00-20
Samsung 840 Pro 512GB 2.5-Inch SATA 6Gbps Solid State Drive,189,Samsung,MZ-7PD512BW,512 GB,SSD,,SATA 6 Gb/s,,"2.5""",https://amazon.com/dp/B009NB8WTI?tag=pcbuilder00-20
"Corsair Memory Only Neutron XTi Series SSD 1920GB 2.5""",/A,Corsair,CSSD-N1920GBXTI,2 TB,SSD,,SATA 6 Gb/s,,"2.5""",https://amazon.com/dp/B01JKI686M?tag=pcbuilder00-20
"Transcend 1TB NVMe PCIe Gen3 X4 3, 500 MB/S 220S 80mm M.2 Solid State Drive",79.79,Transcend,TS1TMTE220S,1 TB,SSD,,M.2 (B+M),,M.2-2280,https://amazon.com/dp/B07MTX2F8X?tag=pcbuilder00-20
Seagate 6TB 7200RPM HDD,204.99,Seagate,ST6000NM021A,6 TB,HDD,7200 RPM,SATA 6 Gb/s,256 MB,"3.5""",https://amazon.com/dp/B07TBLTSTT?tag=pcbuilder00-20
WD Purple 6TB Surveillance Hard Disk Drive - 5400 RPM Class SATA 6 Gb/s 64MB Cache 3.5 Inch,159,Western Digital,WD60PURX,6 TB,HDD,5400 RPM,SATA 6 Gb/s,64 MB,"3.5""",https://amazon.com/dp/B00P0NV43E?tag=pcbuilder00-20
"Seagate Enterprise Capacity ST2000NM000A 2TB 7200RPM SATA 6.0 GB/s 256MB Enterprise Hard Drive (3.5 inch, Exos 7E8 HDD 512N SATA)",150.99,Seagate,ST2000NM000A,2 TB,HDD,7200 RPM,SATA 6 Gb/s,256 MB,"3.5""",https://amazon.com/dp/B081H91CSM?tag=pcbuilder00-20
Corsair CSSD-F960GBMP300 Force Series MP300 960GB NVMe PCIe M.2 SSD Network Attached Storage,/A,Corsair,CSSD-F960GBMP300,960 GB,SSD,,M.2 (B+M),,M.2-2280,https://amazon.com/dp/B07D98C3MM?tag=pcbuilder00-20
WESTERN DIGITAL Technologies SD9SN8W-1T00-1122 Western Digital SanDisk X600 SATA M.2 2280 1TB 3.5 inches,258,Western Digital,SD9SN8W-1T00-1122,1 TB,SSD,,M.2 (B+M),,M.2-2280,https://amazon.com/dp/B078KF3LKL?tag=pcbuilder00-20
"Western Digital 300 GB VelociRaptor SATA 3 Gb/s 10,000 RPM 16 MB Cache Bulk/OEM Enterprise Hard Drive",37.50,Western Digital,WD3000HLFS,300 GB,HDD,10000 RPM,SATA 3 Gb/s,16 MB,"2.5""",https://amazon.com/dp/B001FBH0HE?tag=pcbuilder00-20
Western Digital 500 GB Caviar Blue SATA 3 Gb/s 7200 RPM 8 MB Cache Bulk/OEM Desktop Hard Drive,36.99,Western Digital,WD5000AAJS,500 GB,HDD,7200 RPM,SATA 3 Gb/s,8 MB,"3.5""",https://amazon.com/dp/B000Q84G6K?tag=pcbuilder00-20
"Western Digital WD,Performance 1TB 7200 RPM SATA 6.0Gb/s 3.5"" Desktop Internal Hard Drive",43.77,Western Digital,FBA_WDBSLA0010HNC-N,1 TB,HDD,7200 RPM,SATA III 6 Gb/s,64 MB,"3.5""",https://amazon.com/dp/B00L1FLTF8?tag=pcbuilder00-20
Western Digital 80 GB Caviar Blue SATA 7200 RPM 8 MB Cache Bulk/OEM Desktop Hard Drive,36.99,Western Digital,WD800AAJS,80 GB,HDD,7200 RPM,SATA 3 Gb/s,8 MB,"3.5""",https://amazon.com/dp/B000Q85WNQ?tag=pcbuilder00-20
Transcend 64GB SATA III 6Gb/s SSD370S 2.5” Solid State Drive,53.20,Transcend,TS64GSSD370S,64 GB,SSD,,SATA III 6 Gb/s,,"2.5""",https://amazon.com/dp/B00VX82P42?tag=pcbuilder00-20
SanDisk Extreme PRO 240GB SATA 6.0Gb/s 2.5-Inch 7mm Height Solid State Drive (SSD),78.95,SanDisk,SDSSDXPS-240G-G25,240 GB,SSD,,SATA 6 Gb/s,,"2.5""",https://amazon.com/dp/B00KHRYRNM?tag=pcbuilder00-20
Western Digital 1.5 TB Caviar Green SATA Intellipower 64 MB Cache Bulk/OEM Desktop Hard Drive,72.99,Western Digital,WD15EARS,1.6 TB,HDD,5400 RPM,SATA 3 Gb/s,64 MB,"3.5""",https://amazon.com/dp/B002ZCXJZE?tag=pcbuilder00-20
"Sandisk Z400s 128GB Solid State Drive (2.5”, SATA 3.2 6GB/s, 128GB Capacity)",/A,SanDisk,SD8SBAT-128G-1122,128 GB,SSD,,SATA 6 Gb/s,,"2.5""",https://amazon.com/dp/B00Z1NFLJG?tag=pcbuilder00-20
Western Digital 1 TB Caviar Green SATA Intellipower 8 MB Cache Bulk/OEM Desktop Hard Drive,85,Western Digital,WD10EAVS,1 TB,HDD,5400 RPM,SATA 3 Gb/s,64 MB,"3.5""",https://amazon.com/dp/B001EXA20A?tag=pcbuilder00-20
"Western Digital 10TB WD Red Pro NAS Internal Hard Drive - 7200 RPM Class, SATA 6 Gb/s, CMR, 256 MB Cache, 3.5""",265 (Used),Western Digital,WD101KFBX,10 TB,HDD,7200 RPM,SATA 6 Gb/s,256 MB,"3.5""",https://amazon.com/dp/B072F422FW?tag=pcbuilder00-20
INTEL 520 Series 120GB 2.5 Reseller,96.53 (Used),Intel,SSDSC2CW120A3K5,120 GB,SSD,,SATA 6 Gb/s,,"2.5""",https://amazon.com/dp/B006VCP7YA?tag=pcbuilder00-20
"Western Digital 750GB WD Black Performance Mobile Hard Drive - 7200 RPM Class, SATA 6 Gb/s, , 16 MB Cache, 2.5""",87,Western Digital,WD7500BPKX,750 GB,HDD,7200 RPM,SATA 6 Gb/s,16 MB,"2.5""",https://amazon.com/dp/B00DSUTX3O?tag=pcbuilder00-20
SanDisk Z400s 256GB SSD,/A,SanDisk,SD8SBAT-256G-1122,256 GB,SSD,,SATA 6 Gb/s,,"2.5""",https://amazon.com/dp/B00Z1NP0X8?tag=pcbuilder00-20
Seagate 6TB IronWolf NAS SATA 6Gb/s NCQ 128MB Cache 3.5-Inch Internal Hard Drive,205,Seagate,ST6000VN0041,6 TB,HDD,7200 RPM,SATA 6 Gb/s,128 MB,"3.5""",https://amazon.com/dp/B01LZDFMWQ?tag=pcbuilder00-20
Western Digital Velociraptor 600 GB SATA III 10000 RPM 32 MB Cache Bulk/OEM 3.5 Inch Desktop Hard Drive,59.99,Western Digital,WD6000HLHX,600 GB,HDD,10000 RPM,SATA 6 Gb/s,32 MB,"3.5""",https://amazon.com/dp/B003FW9T0M?tag=pcbuilder00-20
Seagate 10TB 7200RPM 256MB 512E SATA 3.5,301.78,Seagate,ST10000NM0478,10 TB,HDD,7200 RPM,SATA 6 Gb/s,256 MB,"3.5""",https://amazon.com/dp/B082T31WWM?tag=pcbuilder00-20
"(Old Model) Seagate Exos 12TB Internal Hard Drive Enterprise HDD – 3.5 Inch 6Gb/s 7200 RPM 128MB Cache for Enterprise, Data Center – Frustration Free Packaging",229,Seagate,ST12000NM0007,12 TB,HDD,7200 RPM,SATA 6 Gb/s,256 MB,"3.5""",https://amazon.com/dp/B0759Q9FXZ?tag=pcbuilder00-20
Western Digital 320 GB AV-GP SATA 3 Gb/s Intellipower 8 MB Cache Bulk/OEM AV Hard Drive,38.99 (Used),Western Digital,WD3200AVVS,320 GB,HDD,5400 RPM,SATA 3 Gb/s,8 MB,"3.5""",https://amazon.com/dp/B001VKY8G0?tag=pcbuilder00-20
Seagate Barracuda 7200 500 GB 7200RPM SATA 3Gb/s 16MB Cache 3.5 Inch Internal Hard Drive,36.99,Seagate,Barracuda 7200,500 GB,HDD,7200 RPM,SATA 3 Gb/s,16 MB,"3.5""",https://amazon.com/dp/B001VKYA5E?tag=pcbuilder00-20
"Western Digital 14TB WD Red Plus NAS Internal Hard Drive - 5400 RPM Class, SATA 6 Gb/s, CMR, 512 MB Cache, 3.5""",359.99,Western Digital,WD140EFFX,14 TB,HDD,5400 RPM,SATA 6 Gb/s,,"3.5""",https://amazon.com/dp/B07YFGMZVV?tag=pcbuilder00-20
"Team Group 120GB GX1 2.5"" SATA III Internal Solid State Drive (SSD)",28,TEAMGROUP,GX1,120 GB,SSD,,SATA 6 Gb/s,,"2.5""",https://amazon.com/dp/B07SD64GDS?tag=pcbuilder00-20
Samsung 850 PRO - 256GB - 2.5-Inch SATA III Internal SSD,240,Samsung,MZ-7KE256BW,256 GB,SSD,,SATA 6 Gb/s,,"2.5""",https://amazon.com/dp/B00LMXBOP4?tag=pcbuilder00-20
Intel Solid State Drives,412,Intel,SSDPEKKW512G801,512 GB,SSD,,M.2,,M.2-2280,https://amazon.com/dp/B078QCR1V2?tag=pcbuilder00-20
"Seagate IronWolf Pro 2TB NAS Internal Hard Drive HDD – 3.5 Inch SATA 6GB/S 7200 RPM 128MB Cache for Raid Network Attached Storage, Data Recovery Rescue Service",158.68 (Used),Seagate,IronWolf Pro,2 TB,HDD,7200 RPM,SATA 6 Gb/s,128 MB,"3.5""",https://amazon.com/dp/B01N2L30Y1?tag=pcbuilder00-20
"Western Digital 8TB WD Purple Surveillance Internal Hard Drive - 7200 RPM Class, SATA 6 Gb/s, , 256 MB Cache, 3.5""",189.82,Western Digital,WD82PURZ,8 TB,HDD,7200 RPM,SATA 6 Gb/s,256 MB,"3.5""",https://amazon.com/dp/B07RRCQVN1?tag=pcbuilder00-20
Seagate IronWolf 12TB NAS Internal Hard Drive HDD – 3.5 Inch SATA 6Gb/s 7200 RPM 256MB Cache RAID Home Servers,244.64,Seagate,IronWolf 12TB,12 TB,HDD,7200 RPM,SATA 6 Gb/s,256 MB,"3.5""",https://amazon.com/dp/B07J351T2V?tag=pcbuilder00-20
"Inland Performance 500GB SSD M.2 2280 PCIe Gen 4.0 NVMe 4 x4 3D TCL NAND Internal Solid State Drive, Read/Write Speed up to 4500MB/s and 2200MB/s, Backwards Compatible with PCIe 3.0 (500 GB)",/A,INLAND,500GB NVME PERF,500 GB,SSD,,M.2,,M.2-2280,https://amazon.com/dp/B07ZJTY2XC?tag=pcbuilder00-20
ADATA SU800 2TB 3D-NAND 2.5 Inch SATA III High Speed Read & Write up to 560MB/s & 520MB/s Solid State Drive,611,ADATA,SU800,2.0 TB,SSD,,SATA III (6 Gb/s),,"2.5""",https://amazon.com/dp/B07GBRG2G8?tag=pcbuilder00-20
Lexar NM610 M.2 2280 PCIe Gen3x4 NVMe 1TB Solid-State Drive,97.55,Lexar,NM610,1.0 TB,SSD,,PCIe 3.0 x4,,M.2 2280,https://amazon.com/dp/B07YXRHCZ1?tag=pcbuilder00-20
"ADATA SU650 240GB 3D-NAND 2.5"" SATA III High Speed Read up to 520MB/s Internal Solid State Drive",/A,ADATA,SU650,240 GB,SSD,,SATA 6 Gb/s,,"2.5""",https://amazon.com/dp/B075R9X8BR?tag=pcbuilder00-20
"CORSAIR FORCE Series MP510 1920GB NVMe PCIe Gen3 x4 M.2 SSD Solid State Storage, Up to 3,480MB/s",197.33,Corsair,Force MP510,1.92 TB,SSD,,M.2,,M.2-2280,https://amazon.com/dp/B07HR5PN9Q?tag=pcbuilder00-20
Seagate 2TB Desktop Gaming SSHD(Solid State Hybrid Drive) SATA 6Gb/s 64MB Cache 3.5-Inch Internal Bare Drive,108,Seagate,ST2000DX001,2 TB,HDD,,SATA 6 Gb/s,64 MB,"3.5""",https://amazon.com/dp/B00EIQTKAS?tag=pcbuilder00-20
HITACHI 0F10311 2.0TB SATA 3.0Gb/s 3.0 7200 RPM 32MB Buffer Hard Drive Bulk,55.49,Hitachi,0F10311,2 TB,HDD,7200 RPM,SATA 3 Gb/s,32 MB,"3.5""",https://amazon.com/dp/B002WGH2QK?tag=pcbuilder00-20
Seagate BarraCuda 6TB Internal Hard Drive HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256MB Cache for Computer Desktop PC,99.99,Seagate,BarraCuda 6TB,6 TB,HDD,5400 RPM,SATA 6 Gb/s,256 MB,"3.5""",https://amazon.com/dp/B07H28SY39?tag=pcbuilder00-20
"Patriot Burst SSD 960GB SATA III Internal Solid State Drive 2.5""",59.99,Patriot Memory,PBU960GS25SSDR,960 GB,HDD,,SATA 6 Gb/s,,"2.5""",https://amazon.com/dp/B07GYRRQSN?tag=pcbuilder00-20
Seagate Laptop Thin 500 GB 7200RPM SATA 6 GB/s 32 MB Cache 2.5 Inch Hard Disk Drive,18.50,Seagate,ST500LM021,500 GB,HDD,7200 RPM,SATA 6 Gb/s,32 MB,"2.5""",https://amazon.com/dp/B00ISKS416?tag=pcbuilder00-20
Seagate BarraCuda Mobile Hard Drive 4TB SATA 6Gb/s 128MB Cache 2.5-Inch 15mm,118,Seagate,ST4000LM024,4 TB,HDD,5400 RPM,SATA 6 Gb/s,128 MB,"2.5""",https://amazon.com/dp/B01LZMUNGR?tag=pcbuilder00-20
WD Black 256GB Performance SSD - 8 Gb/s M.2 PCIe NVMe Solid State Drive,148.87,Western Digital,WDS256G1X0C,256 GB,SSD,,M.2,,M.2-2280,https://amazon.com/dp/B01MS6BYJD?tag=pcbuilder00-20
"Seagate 2TB 3.5"" SATA 5400 RPM 6GB/s Hard Drive",61,Seagate,ST2000DM005,2 TB,HDD,5400 RPM,SATA 6 Gb/s,256 MB,"3.5""",https://amazon.com/dp/B07FD98N7N?tag=pcbuilder00-20
TEAMGROUP T-Force Delta RGB SSD 250GB 2.5 inch SATA III 3D NAND Internal Solid State Drive (5V RGB Header),/A,TEAMGROUP,T-Force Delta RGB,250 GB,SSD,,SATA 6 Gb/s,,"2.5""",https://amazon.com/dp/B07D8VQNF2?tag=pcbuilder00-20
Seagate Barracuda 510 250GB SSD Internal Solid State Drive – PCIe Nvme 3D TLC NAND for Gaming PC Gaming Laptop Desktop,69.99 (Used),Seagate,Barracuda 510,250 GB,SSD,,M.2,,M.2-2280,https://amazon.com/dp/B07ZPRRRBH?tag=pcbuilder00-20
Silicon Power 256GB A55 M.2 SSD (SLC Cache For Speed Boost) SATA III Internal Solid State Drive 2280,17.99,SP Silicon Power,SU256GBSS3A55M28AB,256 GB,SSD,,M.2,,M.2-2280,https://amazon.com/dp/B079X7LMLY?tag=pcbuilder00-20
"Western Digital 10TB WD Gold Enterprise Class Internal Hard Drive - 7200 RPM Class, SATA 6 Gb/s, 256 MB Cache, 3.5""",239.99,Western Digital,WD102KRYZ,10 TB,HDD,7200 RPM,SATA 6 Gb/s,256 MB,"3.5""",https://amazon.com/dp/B07XDD5MV8?tag=pcbuilder00-20
WD 1 TB 3.5-Inch Desktop Mainstream,24.73,Western Digital,WDBH2D0010HNC-NRSN,1.0 TB,HDD,7200 RPM,SATA III (6 Gb/s),64 MB,"3.5""",https://amazon.com/dp/B00D8X0JRU?tag=pcbuilder00-20
Western Digital Caviar SE16 WD6400AAKS Hard Drive,59.99,Western Digital,WD6400AAKS-20PK,640 GB,HDD,7200 RPM,SATA 3 Gb/s,16 MB,"3.5""",https://amazon.com/dp/B002OOWHYC?tag=pcbuilder00-20
"Samsung PM961 Polaris 128GB M.2 NGFF PCIe Gen3 x4, NVME Solid State Drive SSD, OEM (2280)",75,Samsung,PM961 Polaris,128 GB,SSD,,M.2,,M.2-2280,https://amazon.com/dp/B071RCFGLZ?tag=pcbuilder00-20
"Western Digital 500GB WD Blue SN500 NVMe Internal SSD - Gen3 PCIe, M.2 2280, 3D NAND, Up to 1700 MB/s",149.97,Western Digital,WDS500G1B0C,500 GB,SSD,,M.2,,M.2-2280,https://amazon.com/dp/B07P7TFKRH?tag=pcbuilder00-20
Seagate BarraCuda Pro 500GB Internal Hard Drive Performance HDD – 2.5 Inch SATA 6Gb/s 7200 RPM 128MB Cache for Computer Desktop,24.77,Seagate,BarraCuda Pro 500,500 GB,HDD,7200 RPM,SATA 6 Gb/s,128 MB,"2.5""",https://amazon.com/dp/B078TFYBQ8?tag=pcbuilder00-20
"WD Blue 250GB Everyday PC Desktop Hard Drive: 3.5 Inch, SATA 6 Gb/s, 7200 RPM, 16MB Cache",44.76,Western Digital,WD2500AAKX,250 GB,HDD,7200 RPM,SATA 6 Gb/s,16 MB,"3.5""",https://amazon.com/dp/B00461K1QW?tag=pcbuilder00-20
Seagate 4TB 7200RPM HDD,170.22,Seagate,ST4000NM002A,4 TB,HDD,7200 RPM,SATA 6 Gb/s,256 MB,"3.5""",https://amazon.com/dp/B07T4411LF?tag=pcbuilder00-20
"Seagate Desktop HDD 2TB 7200RPM SATA 6 Gb/s 64MB Cache 3.5"" - Internal Drive Retail Kit",87.25,Seagate,STBD2000101,2 TB,HDD,7200 RPM,SATA 3 Gb/s,64 MB,"3.5""",https://amazon.com/dp/B005OKQUJ6?tag=pcbuilder00-20
"Western Digital 6TB WD Red NAS Internal Hard Drive - 5400 RPM Class, SATA 6 Gb/s, SMR, 256MB Cache, 3.5""",89.77,Western Digital,WD60EFAX,6 TB,HDD,5400 RPM,SATA 6 Gb/s,256 MB,"3.5""",https://amazon.com/dp/B07MYL7KVK?tag=pcbuilder00-20
"Transcend 16 GB 2.5"" Internal Solid State Drive",/A,Transcend,TS16GSSD500,16 GB,SSD,,SATA 3 Gb/s,,"2.5""",https://amazon.com/dp/B007DISBYY?tag=pcbuilder00-20
ADATA SU750 512GB 2.5 INCH SSD,50.05,ADATA,ASU750SS-512GT-C,512 GB,SSD,,SATA 6 Gb/s,,"2.5""",https://amazon.com/dp/B07QGWR8GB?tag=pcbuilder00-20
"WD Velociraptor WD1000DHTZ 1TB 3.5"" SATA Hard Drive",189,Western Digital,Velociraptor,1 TB,HDD,10000 RPM,SATA 6 Gb/s,64 MB,"3.5""",https://amazon.com/dp/B007VPGJIY?tag=pcbuilder00-20
"Western Digital 10TB WD Red Pro NAS Internal Hard Drive - 7200 RPM Class, SATA 6 Gb/s, CMR, 256 MB Cache, 3.5""",209.99,Western Digital,WD102KFBX,10 TB,HDD,7200 RPM,SATA 6 Gb/s,256 MB,"3.5""",https://amazon.com/dp/B084F34HZ6?tag=pcbuilder00-20
"Western Digital 2TB WD Red NAS Internal Hard Drive - 5400 RPM Class, SATA 6 Gb/s, SMR, 256MB Cache, 3.5""",44.99,Western Digital,WD20EFAX,2 TB,HDD,5400 RPM,SATA 6 Gb/s,256 MB,"3.5""",https://amazon.com/dp/B07PGWXQCM?tag=pcbuilder00-20
Samsung 960 PRO NVMe M.2 512GB SSD,239.99,Samsung,MZ-V6P512BW,512 GB,SSD,,M.2,512 MB,M.2-2280,https://amazon.com/dp/B01LXS4TYB?tag=pcbuilder00-20
Seagate Firecuda 510 500GB Performance Internal Solid State Drive SSD PCIe Gen3 X4 NVMe 1.3 for Gaming PC Gaming Laptop Desktop,149.49,Seagate,ZP500GM3A001,500 GB,SSD,,PCIe 3.0 x4,,M.2 2280,https://amazon.com/dp/B07ZPRRSPX?tag=pcbuilder00-20
"SEAGATE ST8000DM0004 BarraCuda Pro 8TB 7200 RPM 256MB Cache Hard Drive - 3.5""",235,Seagate,ST8000DM0004,8 TB,HDD,7200 RPM,SATA 6 Gb/s,256 MB,"3.5""",https://amazon.com/dp/B06Y6CCSVW?tag=pcbuilder00-20
"Seagate IronWolf ST10000VN0008 10 TB Hard Drive - 3.5"" Internal - SATA (SATA/600)",269.99,Seagate,ST10000VN0008,10 TB,HDD,7200 RPM,SATA III (6 Gb/s),256 MB,"3.5""",https://amazon.com/dp/B07J34J785?tag=pcbuilder00-20
"Western Digital Caviar Black 1 TB Bulk/OEM Hard Drive 3.5 Inch, 32 MB Cache, 7200 RPM SATA II WD1001FALS",79.99,Western Digital,WD1001FALS,1 TB,HDD,7200 RPM,SATA 3 Gb/s,32 MB,"3.5""",https://amazon.com/dp/B001C271MA?tag=pcbuilder00-20
HP EX900 M.2 250GB PCIe 3.0 x4 NVMe 3D TLC NAND Internal Solid State Drive,24.99,HP,2YY43AA#ABC,250 GB,SSD,,M.2,,M.2-2280,https://amazon.com/dp/B07B319VG2?tag=pcbuilder00-20
"Gigabyte UD PRO 256GB 64 layer 3D TLC NAND Flash SATA III 2.5"" Internal SSD",/A,Gigabyte,GP-GSTFS30256GTTD,256 GB,SSD,,SATA 6 Gb/s,256 MB,"2.5""",https://amazon.com/dp/B07D9C7SQR?tag=pcbuilder00-20
Samsung 860 QVO SSD 4TB - 2.5 Inch SATA 3 Internal Solid State Drive with V-NAND Technology,649.99,Samsung,MZ-76Q4T0B/AM,4 TB,SSD,,SATA 6 Gb/s,,"2.5""",https://amazon.com/dp/B07L3CLM2B?tag=pcbuilder00-20
Seagate 16TB 7200RPM HDD,339.99,Seagate,ST16000NM003G,16 TB,HDD,7200 RPM,SATA 6 Gb/s,256 MB,"3.5""",https://amazon.com/dp/B07T3VQC2K?tag=pcbuilder00-20
Samsung 850 PRO - 512GB - 2.5-Inch SATA III Internal SSD,344.45,Samsung,MZ-7KE512BW,512 GB,SSD,,SATA 6 Gb/s,,"2.5""",https://amazon.com/dp/B00LF10KTO?tag=pcbuilder00-20
Angelbird SSD wrk XT 8TB,/A,Angelbird,SSDWRKXT8TB,8 TB,SSD,,SATA 6 Gb/s,,"2.5""",https://amazon.com/dp/B075GZW59Q?tag=pcbuilder00-20
"Toshiba Memory America Toshiba OCZ TR200 Series 2.5"" SATA III 240GB Internal Solid State Drive (THN-TR20Z2400U8(CS) 2.5""",42.99,Toshiba,4041H45,240 GB,SSD,,SATA 6 Gb/s,,"2.5""",https://amazon.com/dp/B076DWV18J?tag=pcbuilder00-20
Seagate BarraCuda Internal Hard Drive 4TB SATA 6Gb/s 256MB Cache 3.5-Inch,125,Seagate,ST4000DM005,4 TB,HDD,5400 RPM,SATA 6 Gb/s,64 MB,"3.5""",https://amazon.com/dp/B01LNJBA50?tag=pcbuilder00-20
Kingston KC600 256GB 2.5 Inch SATA3 Solid State Drive (3D TLC),37.95,Kingston,KC600,256 GB,SSD,,SATA 6 Gb/s,,"2.5""",https://amazon.com/dp/B07ZDBZDR9?tag=pcbuilder00-20
"Seagate Constellation 3TB ES.2 ST33000650SS 3.5"" Enterprise SAS Hard Drive",44.99,Seagate,ST33000650SS,3 TB,HDD,7200 RPM,SATA 6 Gb/s,64 MB,"3.5""",https://amazon.com/dp/B004TLVKLO?tag=pcbuilder00-20
Transcend 256GB Nvme PCIe Gen3 X4 MTE110S M.2 SSD Solid State Drive,23.99,Transcend,TS256GMTE110S,256 GB,SSD,,M.2,,M.2-2280,https://amazon.com/dp/B07CXZ9D7T?tag=pcbuilder00-20
